time	V(6)
0.000000000000000e+000	-4.261736e-003
3.571428613164635e-009	-4.261910e-003
7.142857226329270e-009	-4.261762e-003
1.071428583949391e-008	-4.261293e-003
1.428571445265854e-008	-4.260503e-003
1.785714306582317e-008	-4.259392e-003
2.142857167898781e-008	-4.257960e-003
2.500000029215244e-008	-4.256207e-003
5.000000058430487e-008	-4.229976e-003
1.000000011686097e-007	-4.116820e-003
2.000000023372195e-007	-3.659417e-003
4.000000046744390e-007	-1.881702e-003
8.000000093488779e-007	4.717374e-003
1.600000018697756e-006	2.810377e-002
3.200000037395512e-006	1.006590e-001
5.136835929154863e-006	2.166031e-001
7.481848307020379e-006	3.763490e-001
1.163471156411721e-005	6.669241e-001
1.597758236886918e-005	9.686964e-001
2.325544236512542e-005	1.469417e+000
3.302106736512542e-005	2.134996e+000
4.278669236512542e-005	2.792367e+000
6.231794236512542e-005	4.072650e+000
7.208356736512542e-005	4.690855e+000
8.184919236512541e-005	5.291363e+000
9.161481736512541e-005	5.871915e+000
1.013804423651254e-004	6.430336e+000
1.111460673651254e-004	6.964524e+000
1.209116923651254e-004	7.472472e+000
1.306773173651254e-004	7.952270e+000
1.404429423651254e-004	8.402113e+000
1.502085673651254e-004	8.820309e+000
1.599741923651254e-004	9.205283e+000
1.697398173651254e-004	9.555589e+000
1.795054423651254e-004	9.869907e+000
1.892710673651254e-004	1.014706e+001
1.990366923651255e-004	1.038599e+001
2.088023173651255e-004	1.058582e+001
2.185679423651255e-004	1.074579e+001
2.283335673651255e-004	1.086529e+001
2.380991923651255e-004	1.094388e+001
2.478648173651255e-004	1.098127e+001
2.576304423651255e-004	1.097730e+001
2.673960673651255e-004	1.093201e+001
2.771616923651255e-004	1.084556e+001
2.869273173651255e-004	1.071828e+001
2.966929423651255e-004	1.055064e+001
3.064585673651255e-004	1.034328e+001
3.162241923651256e-004	1.009698e+001
3.259898173651256e-004	9.812669e+000
3.357554423651256e-004	9.491415e+000
3.455210673651256e-004	9.134430e+000
3.552866923651256e-004	8.743055e+000
3.650523173651256e-004	8.318766e+000
3.748179423651256e-004	7.863160e+000
3.845835673651256e-004	7.377952e+000
3.943491923651256e-004	6.864968e+000
4.041148173651256e-004	6.326141e+000
4.138804423651256e-004	5.763501e+000
4.236460673651257e-004	5.179169e+000
4.334116923651257e-004	4.575347e+000
