time	V(n001)
Step Information: Step=100µ  (Run: 1/3)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	6.283185e-006
1.999999943436137e-009	1.256637e-005
8.191999768314418e-006	5.142926e-002
1.638399953662884e-005	1.026033e-001
3.276799907325767e-005	2.031780e-001
6.553599814651534e-005	3.915054e-001
1.256958211094626e-004	6.880538e-001
1.794750194053208e-004	8.928317e-001
2.024141448096235e-004	9.519827e-001
2.193808229340260e-004	9.787456e-001
2.364630326389776e-004	9.924393e-001
2.599583083930346e-004	9.931312e-001
2.812112162126468e-004	9.737980e-001
3.156963474982443e-004	8.992783e-001
3.708122985293340e-004	7.008070e-001
4.352387670519707e-004	3.822042e-001
4.864931241992936e-004	8.255650e-002
5.336720119612033e-004	-2.054081e-001
5.808874089691515e-004	-4.738913e-001
6.359456918354256e-004	-7.361217e-001
6.808482558775058e-004	-8.982522e-001
7.034164400445200e-004	-9.539234e-001
7.201318998582795e-004	-9.796503e-001
7.373702983984057e-004	-9.929664e-001
7.602974480580500e-004	-9.930674e-001
7.817630122743333e-004	-9.729826e-001
8.165880841187623e-004	-8.967466e-001
8.722166372811442e-004	-6.949370e-001
9.358276283898502e-004	-3.791612e-001
9.869197681192903e-004	-8.103484e-002
1.000000000000000e-003	-2.449213e-016
Step Information: Step=10µ  (Run: 2/3)
0.000000000000000e+000	0.000000e+000
1.999999887924986e-010	1.256637e-006
7.999999551699943e-010	5.026548e-006
1.310719926550519e-005	8.220405e-002
3.310719926550519e-005	2.063179e-001
5.310719926550518e-005	3.272014e-001
7.310719926550518e-005	4.429246e-001
9.310719926550518e-005	5.516627e-001
1.131071992655052e-004	6.517007e-001
1.331071992655052e-004	7.414610e-001
1.531071992655052e-004	8.195281e-001
1.731071992655052e-004	8.846707e-001
1.931071992655052e-004	9.358615e-001
2.131071992655052e-004	9.722933e-001
2.331071992655052e-004	9.933913e-001
2.531071992655052e-004	9.988230e-001
2.731071992655052e-004	9.885026e-001
2.931071992655053e-004	9.625930e-001
3.131071992655053e-004	9.215027e-001
3.331071992655054e-004	8.658798e-001
3.531071992655054e-004	7.966014e-001
3.731071992655055e-004	7.147602e-001
3.931071992655055e-004	6.216467e-001
4.131071992655056e-004	5.187295e-001
4.331071992655056e-004	4.076317e-001
4.531071992655057e-004	2.901052e-001
4.731071992655057e-004	1.680036e-001
4.931071992655058e-004	4.325249e-002
5.131071992655059e-004	-8.218074e-002
5.331071992655059e-004	-2.063179e-001
5.531071992655060e-004	-3.272014e-001
5.731071992655060e-004	-4.429246e-001
5.931071992655061e-004	-5.516627e-001
6.131071992655061e-004	-6.517007e-001
6.331071992655062e-004	-7.414610e-001
6.531071992655062e-004	-8.195281e-001
6.731071992655063e-004	-8.846707e-001
6.931071992655063e-004	-9.358615e-001
7.131071992655064e-004	-9.722933e-001
7.331071992655064e-004	-9.933913e-001
7.531071992655065e-004	-9.988230e-001
7.731071992655065e-004	-9.885026e-001
7.931071992655066e-004	-9.625930e-001
8.131071992655066e-004	-9.215028e-001
8.331071992655067e-004	-8.658798e-001
8.531071992655067e-004	-7.966014e-001
8.731071992655068e-004	-7.147602e-001
8.931071992655068e-004	-6.216467e-001
9.131071992655069e-004	-5.187295e-001
9.331071992655070e-004	-4.076317e-001
9.531071992655070e-004	-2.901052e-001
9.731071992655071e-004	-1.680036e-001
9.931071992655071e-004	-4.326134e-002
1.000000000000000e-003	-2.449213e-016
Step Information: Step=1µ  (Run: 3/3)
0.000000000000000e+000	0.000000e+000
9.999999960041972e-012	6.283185e-008
1.599999993606716e-010	1.005310e-006
1.279999994885372e-009	8.042477e-006
2.031071999476263e-005	1.272687e-001
4.231071999476260e-005	2.627231e-001
6.431071999476254e-005	3.931656e-001
8.631071999476248e-005	5.161076e-001
1.083107199947624e-004	6.292037e-001
1.303107199947624e-004	7.302965e-001
1.523107199947623e-004	8.174572e-001
1.743107199947623e-004	8.890232e-001
1.963107199947622e-004	9.436292e-001
2.183107199947621e-004	9.802334e-001
2.403107199947621e-004	9.981376e-001
2.623107199947625e-004	9.970001e-001
2.813107199947630e-004	9.807011e-001
3.033107199947635e-004	9.444138e-001
3.253107199947641e-004	8.901097e-001
3.473107199947646e-004	8.188249e-001
3.693107199947651e-004	7.319192e-001
3.913107199947657e-004	6.310506e-001
4.133107199947662e-004	5.181434e-001
4.353107199947667e-004	3.953515e-001
4.573107199947673e-004	2.650174e-001
4.793107199947678e-004	1.296275e-001
5.003107199947683e-004	-1.952291e-003
5.213107199947688e-004	-1.334981e-001
5.433107199947693e-004	-2.687803e-001
5.653107199947698e-004	-3.989349e-001
5.813107199947702e-004	-4.889492e-001
6.033107199947708e-004	-6.044800e-001
6.253107199947713e-004	-7.084789e-001
6.473107199947718e-004	-7.989621e-001
6.693107199947724e-004	-8.742034e-001
6.913107199947729e-004	-9.327675e-001
7.133107199947734e-004	-9.735368e-001
7.353107199947740e-004	-9.957340e-001
7.573107199947745e-004	-9.989353e-001
7.793107199947750e-004	-9.830799e-001
8.013107199947756e-004	-9.484701e-001
8.233107199947761e-004	-8.957661e-001
8.453107199947766e-004	-8.259735e-001
8.673107199947772e-004	-7.404237e-001
8.813107199947775e-004	-6.785139e-001
9.033107199947780e-004	-5.708246e-001
9.253107199947786e-004	-4.522457e-001
9.473107199947791e-004	-3.250391e-001
9.693107199947797e-004	-1.916318e-001
9.913107199947787e-004	-5.456870e-002
9.993107199947780e-004	-4.330826e-003
1.000000000000000e-003	-2.449213e-016
