Freq.	V(o)
Step Information: Sim=1  (Run: 1/4)
1.00000000000000e+001	(-6.59748837918366e+001dB,8.95392099346835e+001°)
1.01157945425990e+001	(-6.58748903345945e+001dB,8.95338744712776e+001°)
1.02329299228075e+001	(-6.57748970297427e+001dB,8.95284772343428e+001°)
1.03514216667934e+001	(-6.56749038808302e+001dB,8.95230175088644e+001°)
1.04712854805090e+001	(-6.55749108914888e+001dB,8.95174945715583e+001°)
1.05925372517729e+001	(-6.54749180654349e+001dB,8.95119076907759e+001°)
1.07151930523761e+001	(-6.53749254064715e+001dB,8.95062561264072e+001°)
1.08392691402120e+001	(-6.52749329184899e+001dB,8.95005391297833e+001°)
1.09647819614319e+001	(-6.51749406054722e+001dB,8.94947559435780e+001°)
1.10917481526240e+001	(-6.50749484714933e+001dB,8.94889058017076e+001°)
1.12201845430196e+001	(-6.49749565207228e+001dB,8.94829879292301e+001°)
1.13501081567232e+001	(-6.48749647574275e+001dB,8.94770015422432e+001°)
1.14815362149688e+001	(-6.47749731859735e+001dB,8.94709458477806e+001°)
1.16144861384034e+001	(-6.46749818108286e+001dB,8.94648200437077e+001°)
1.17489755493953e+001	(-6.45749906365647e+001dB,8.94586233186161e+001°)
1.18850222743702e+001	(-6.44749996678600e+001dB,8.94523548517167e+001°)
1.20226443461741e+001	(-6.43750089095018e+001dB,8.94460138127312e+001°)
1.21618600064637e+001	(-6.42750183663887e+001dB,8.94395993617832e+001°)
1.23026877081238e+001	(-6.41750280435335e+001dB,8.94331106492874e+001°)
1.24451461177139e+001	(-6.40750379460656e+001dB,8.94265468158380e+001°)
1.25892541179417e+001	(-6.39750480792340e+001dB,8.94199069920950e+001°)
1.27350308101666e+001	(-6.38750584484097e+001dB,8.94131902986706e+001°)
1.28824955169314e+001	(-6.37750690590889e+001dB,8.94063958460129e+001°)
1.30316677845230e+001	(-6.36750799168957e+001dB,8.93995227342890e+001°)
1.31825673855641e+001	(-6.35750910275852e+001dB,8.93925700532668e+001°)
1.33352143216333e+001	(-6.34751023970465e+001dB,8.93855368821950e+001°)
1.34896288259166e+001	(-6.33751140313058e+001dB,8.93784222896823e+001°)
1.36458313658893e+001	(-6.32751259365295e+001dB,8.93712253335751e+001°)
1.38038426460289e+001	(-6.31751381190277e+001dB,8.93639450608330e+001°)
1.39636836105594e+001	(-6.30751505852574e+001dB,8.93565805074043e+001°)
1.41253754462276e+001	(-6.29751633418258e+001dB,8.93491306980990e+001°)
1.42889395851111e+001	(-6.28751763954941e+001dB,8.93415946464606e+001°)
1.44543977074593e+001	(-6.27751897531808e+001dB,8.93339713546367e+001°)
1.46217717445672e+001	(-6.26752034219654e+001dB,8.93262598132482e+001°)
1.47910838816821e+001	(-6.25752174090924e+001dB,8.93184590012561e+001°)
1.49623565609444e+001	(-6.24752317219748e+001dB,8.93105678858284e+001°)
1.51356124843621e+001	(-6.23752463681982e+001dB,8.93025854222039e+001°)
1.53108746168203e+001	(-6.22752613555249e+001dB,8.92945105535553e+001°)
1.54881661891249e+001	(-6.21752766918977e+001dB,8.92863422108508e+001°)
1.56675107010815e+001	(-6.20752923854444e+001dB,8.92780793127138e+001°)
1.58489319246112e+001	(-6.19753084444822e+001dB,8.92697207652811e+001°)
1.60324539069005e+001	(-6.18753248775214e+001dB,8.92612654620596e+001°)
1.62181009735893e+001	(-6.17753416932710e+001dB,8.92527122837813e+001°)
1.64058977319954e+001	(-6.16753589006423e+001dB,8.92440600982568e+001°)
1.65958690743757e+001	(-6.15753765087542e+001dB,8.92353077602268e+001°)
1.67880401812257e+001	(-6.14753945269377e+001dB,8.92264541112126e+001°)
1.69824365246175e+001	(-6.13754129647414e+001dB,8.92174979793642e+001°)
1.71790838715759e+001	(-6.12754318319355e+001dB,8.92084381793067e+001°)
1.73780082874938e+001	(-6.11754511385183e+001dB,8.91992735119861e+001°)
1.75792361395870e+001	(-6.10754708947203e+001dB,8.91900027645116e+001°)
