time	V(6)	V(n006)
Step Information: Vdc=-500m  (Run: 1/3)
0.000000000000000e+000	-5.504173e+000	-5.000000e-001
6.250000073038109e-009	-5.504173e+000	-4.999607e-001
1.250000014607622e-008	-5.504172e+000	-4.999215e-001
5.000000058430487e-008	-5.504128e+000	-4.996859e-001
1.000000011686097e-007	-5.503968e+000	-4.993717e-001
2.000000023372195e-007	-5.503326e+000	-4.987434e-001
4.000000046744390e-007	-5.500868e+000	-4.974867e-001
8.000000093488779e-007	-5.492061e+000	-4.949735e-001
1.600000018697756e-006	-5.463396e+000	-4.899472e-001
3.200000037395512e-006	-5.381653e+000	-4.798964e-001
6.400000074791024e-006	-5.181036e+000	-4.598079e-001
1.280000014958205e-005	-4.746926e+000	-4.197114e-001
3.168198949226797e-005	-3.455438e+000	-3.024344e-001
4.144761449226797e-005	-2.797467e+000	-2.427529e-001
5.121323949226798e-005	-2.149769e+000	-1.840397e-001
6.097886449226798e-005	-1.514982e+000	-1.265157e-001
7.074448949226798e-005	-8.961687e-001	-7.039742e-002
8.051011449226798e-005	-3.009985e-001	-1.576689e-002
8.758071289865662e-005	1.181047e-001	2.278643e-002
9.158213196637910e-005	3.590227e-001	4.408959e-002
9.640479965780187e-005	6.471108e-001	6.922337e-002
1.015054812848307e-004	9.384395e-001	9.522665e-002
1.076550768954728e-004	1.276823e+000	1.256283e-001
1.174207018954728e-004	1.792849e+000	1.720110e-001
1.271863268954728e-004	2.283298e+000	2.160789e-001
1.369519518954728e-004	2.744271e+000	2.574517e-001
1.467175768954728e-004	3.174114e+000	2.959736e-001
1.564832018954729e-004	3.571229e+000	3.314996e-001
1.662488268954729e-004	3.934160e+000	3.638961e-001
1.760144518954729e-004	4.261541e+000	3.930410e-001
1.857800768954729e-004	4.552151e+000	4.188248e-001
1.955457018954729e-004	4.804896e+000	4.411503e-001
2.053113268954729e-004	5.018831e+000	4.599335e-001
2.150769518954729e-004	5.193151e+000	4.751037e-001
2.248425768954729e-004	5.327203e+000	4.866039e-001
2.346082018954729e-004	5.420484e+000	4.943907e-001
2.443738268954729e-004	5.472645e+000	4.984349e-001
2.541394518954729e-004	5.483492e+000	4.987212e-001
2.639050768954729e-004	5.452984e+000	4.952485e-001
2.736707018954730e-004	5.381238e+000	4.880299e-001
2.834363268954730e-004	5.268527e+000	4.770926e-001
2.932019518954730e-004	5.115275e+000	4.624777e-001
3.029675768954730e-004	4.922062e+000	4.442403e-001
3.127332018954730e-004	4.689617e+000	4.224490e-001
3.224988268954730e-004	4.418817e+000	3.971858e-001
3.322644518954730e-004	4.110683e+000	3.685458e-001
3.420300768954730e-004	3.766382e+000	3.366368e-001
3.517957018954730e-004	3.387213e+000	3.015789e-001
3.615613268954730e-004	2.974616e+000	2.635040e-001
3.713269518954730e-004	2.530161e+000	2.225554e-001
3.810925768954731e-004	2.055561e+000	1.788874e-001
3.908582018954731e-004	1.552694e+000	1.326641e-001
4.006238268954731e-004	1.023861e+000	8.405963e-002
4.103894518954731e-004	4.751844e-001	3.339197e-002
4.174648165670425e-004	6.541049e-002	-4.683905e-003
4.272304415670426e-004	-5.242899e-001	-5.874271e-002
4.318828747444805e-004	-8.180429e-001	-8.506045e-002
4.374520681939398e-004	-1.174545e+000	-1.171709e-001
4.437751587356289e-004	-1.580902e+000	-1.542379e-001
4.535407837356289e-004	-2.219798e+000	-2.124871e-001
4.633064087356289e-004	-2.869375e+000	-2.716995e-001
4.828376587356289e-004	-4.195410e+000	-3.924760e-001
5.023689087356290e-004	-5.540961e+000	-5.148697e-001
5.219001587356290e-004	-6.885884e+000	-6.370399e-001
5.414314087356290e-004	-8.209982e+000	-7.571488e-001
5.609626587356290e-004	-9.493347e+000	-8.733899e-001
5.804939087356290e-004	-1.071667e+001	-9.840149e-001
6.000251587356290e-004	-1.186150e+001	-1.087360e+000
6.097907837356291e-004	-1.239901e+001	-1.135812e+000
6.195564087356291e-004	-1.291265e+001	-1.182146e+000
6.251838686623137e-004	-1.318272e+001	-1.207827e+000
6.276436690496771e-004	-1.326957e+001	-1.218736e+000
6.287159365005341e-004	-1.328806e+001	-1.223415e+000
6.295859865668262e-004	-1.329383e+001	-1.227180e+000
6.305330364467622e-004	-1.329789e+001	-1.231251e+000
6.315190796840063e-004	-1.330116e+001	-1.235455e+000
6.334911661584944e-004	-1.330624e+001	-1.243781e+000
6.353578908371021e-004	-1.330983e+001	-1.251555e+000
6.383190417826449e-004	-1.331378e+001	-1.263666e+000
6.415580501618239e-004	-1.331675e+001	-1.276603e+000
6.461236357994081e-004	-1.331946e+001	-1.294283e+000
6.511394007835613e-004	-1.332130e+001	-1.312889e+000
6.589422064514826e-004	-1.332294e+001	-1.340260e+000
6.664915203536400e-004	-1.332382e+001	-1.364843e+000
6.762571453536400e-004	-1.332439e+001	-1.393723e+000
6.860227703536400e-004	-1.332470e+001	-1.419422e+000
6.957883953536400e-004	-1.332486e+001	-1.441660e+000
7.055540203536401e-004	-1.332495e+001	-1.460355e+000
7.153196453536401e-004	-1.332500e+001	-1.475434e+000
7.250852703536401e-004	-1.332503e+001	-1.486843e+000
7.348508953536401e-004	-1.332505e+001	-1.494537e+000
7.446165203536401e-004	-1.332505e+001	-1.498488e+000
7.543821453536401e-004	-1.332505e+001	-1.498680e+000
7.641477703536401e-004	-1.332505e+001	-1.495114e+000
7.739133953536401e-004	-1.332504e+001	-1.487803e+000
7.836790203536401e-004	-1.332501e+001	-1.476774e+000
7.934446453536401e-004	-1.332496e+001	-1.462068e+000
8.032102703536401e-004	-1.332488e+001	-1.443742e+000
8.129758953536402e-004	-1.332472e+001	-1.421863e+000
8.227415203536402e-004	-1.332443e+001	-1.396515e+000
