time	V(3)	V(6)
Step Information: Voutoff=0  (Run: 1/7)
0.000000000000000e+000	-7.929628e-004	-4.261736e-003
6.250000073038109e-009	-7.737289e-004	-4.261706e-003
1.250000014607622e-008	-7.401879e-004	-4.261152e-003
5.000000058430487e-008	-5.054834e-004	-4.229976e-003
1.000000011686097e-007	-1.926619e-004	-4.116820e-003
2.000000023372195e-007	4.314870e-004	-3.659417e-003
4.000000046744390e-007	1.680693e-003	-1.881702e-003
8.000000093488779e-007	4.180863e-003	4.717374e-003
1.600000018697756e-006	9.187473e-003	2.810377e-002
3.200000037395512e-006	1.921608e-002	1.006590e-001
5.136835929586265e-006	3.137034e-002	2.166031e-001
7.481848307139263e-006	4.608857e-002	3.763490e-001
1.163471156504089e-005	7.212870e-002	6.669241e-001
1.597758237007132e-005	9.929420e-002	9.686964e-001
2.325544236768513e-005	1.446006e-001	1.469417e+000
3.302106736768513e-005	2.049074e-001	2.134996e+000
4.278669236768513e-005	2.644709e-001	2.792367e+000
6.231794236768513e-005	3.803821e-001	4.072650e+000
7.208356736768512e-005	4.362936e-001	4.690855e+000
8.184919236768512e-005	4.905599e-001	5.291363e+000
9.161481736768511e-005	5.429769e-001	5.871915e+000
1.013804423676851e-004	5.933473e-001	6.430336e+000
1.111460673676851e-004	6.414814e-001	6.964524e+000
1.209116923676851e-004	6.871982e-001	7.472472e+000
1.306773173676851e-004	7.303255e-001	7.952270e+000
1.404429423676851e-004	7.707010e-001	8.402113e+000
1.502085673676851e-004	8.081728e-001	8.820309e+000
1.599741923676851e-004	8.425998e-001	9.205283e+000
1.697398173676851e-004	8.738525e-001	9.555589e+000
1.795054423676852e-004	9.018132e-001	9.869907e+000
1.892710673676852e-004	9.263768e-001	1.014706e+001
1.990366923676852e-004	9.474506e-001	1.038599e+001
2.088023173676852e-004	9.649555e-001	1.058582e+001
2.185679423676852e-004	9.788256e-001	1.074579e+001
2.283335673676852e-004	9.890085e-001	1.086529e+001
2.380991923676852e-004	9.954661e-001	1.094388e+001
2.478648173676852e-004	9.981740e-001	1.098127e+001
2.576304423676852e-004	9.971219e-001	1.097730e+001
2.673960673676852e-004	9.923140e-001	1.093201e+001
2.771616923676852e-004	9.837683e-001	1.084556e+001
2.869273173676852e-004	9.715168e-001	1.071828e+001
2.966929423676852e-004	9.556059e-001	1.055064e+001
3.064585673676852e-004	9.360952e-001	1.034328e+001
3.162241923676852e-004	9.130583e-001	1.009698e+001
3.259898173676853e-004	8.865819e-001	9.812669e+000
3.357554423676853e-004	8.567656e-001	9.491415e+000
3.455210673676853e-004	8.237217e-001	9.134430e+000
3.552866923676853e-004	7.875745e-001	8.743055e+000
3.650523173676853e-004	7.484600e-001	8.318766e+000
3.748179423676853e-004	7.065255e-001	7.863160e+000
3.845835673676853e-004	6.619288e-001	7.377952e+000
3.943491923676853e-004	6.148378e-001	6.864968e+000
4.041148173676853e-004	5.654297e-001	6.326141e+000
4.138804423676853e-004	5.138905e-001	5.763501e+000
4.236460673676853e-004	4.604141e-001	5.179169e+000
4.334116923676854e-004	4.052019e-001	4.575347e+000
4.529429423676854e-004	2.904069e-001	3.318439e+000
4.627085673676854e-004	2.312561e-001	2.670131e+000
