Freq.	V(6)
1.00000000000000e+000	(2.08277639827578e+001dB,-9.43592233633615e-004°)
1.02329299228075e+000	(2.08277639827025e+001dB,-9.65571320243738e-004°)
1.04712854805090e+000	(2.08277639826447e+001dB,-9.88062365548322e-004°)
1.07151930523761e+000	(2.08277639825841e+001dB,-1.01107729459725e-003°)
1.09647819614318e+000	(2.08277639825207e+001dB,-1.03462831021052e-003°)
1.12201845430196e+000	(2.08277639824543e+001dB,-1.05872789944833e-003°)
1.14815362149688e+000	(2.08277639823847e+001dB,-1.08338884023182e-003°)
1.17489755493953e+000	(2.08277639823119e+001dB,-1.10862420811821e-003°)
1.20226443461741e+000	(2.08277639822356e+001dB,-1.13444738323355e-003°)
1.23026877081238e+000	(2.08277639821558e+001dB,-1.16087205736703e-003°)
1.25892541179417e+000	(2.08277639820722e+001dB,-1.18791224123062e-003°)
1.28824955169313e+000	(2.08277639819846e+001dB,-1.21558227188766e-003°)
1.31825673855641e+000	(2.08277639818929e+001dB,-1.24389682035464e-003°)
1.34896288259165e+000	(2.08277639817969e+001dB,-1.27287089937985e-003°)
1.38038426460288e+000	(2.08277639816964e+001dB,-1.30251987140347e-003°)
1.41253754462275e+000	(2.08277639815911e+001dB,-1.33285945670287e-003°)
1.44543977074593e+000	(2.08277639814809e+001dB,-1.36390574172766e-003°)
1.47910838816821e+000	(2.08277639813655e+001dB,-1.39567518762906e-003°)
1.51356124843621e+000	(2.08277639812446e+001dB,-1.42818463898773e-003°)
1.54881661891248e+000	(2.08277639811180e+001dB,-1.46145133274501e-003°)
1.58489319246111e+000	(2.08277639809855e+001dB,-1.49549290734215e-003°)
1.62181009735893e+000	(2.08277639808468e+001dB,-1.53032741207254e-003°)
1.65958690743756e+000	(2.08277639807015e+001dB,-1.56597331665155e-003°)
1.69824365246174e+000	(2.08277639805493e+001dB,-1.60244952100951e-003°)
1.73780082874937e+000	(2.08277639803900e+001dB,-1.63977536531269e-003°)
1.77827941003892e+000	(2.08277639802231e+001dB,-1.67797064021765e-003°)
1.81970085860998e+000	(2.08277639800484e+001dB,-1.71705559736459e-003°)
1.86208713666287e+000	(2.08277639798655e+001dB,-1.75705096011503e-003°)
1.90546071796325e+000	(2.08277639796739e+001dB,-1.79797793453950e-003°)
1.94984459975804e+000	(2.08277639794734e+001dB,-1.83985822066145e-003°)
1.99526231496888e+000	(2.08277639792633e+001dB,-1.88271402396270e-003°)
2.04173794466953e+000	(2.08277639790434e+001dB,-1.92656806715730e-003°)
2.08929613085404e+000	(2.08277639788131e+001dB,-1.97144360223917e-003°)
2.13796208950223e+000	(2.08277639785719e+001dB,-2.01736442281082e-003°)
2.18776162394955e+000	(2.08277639783194e+001dB,-2.06435487669891e-003°)
2.23872113856834e+000	(2.08277639780550e+001dB,-2.11243987886383e-003°)
2.29086765276777e+000	(2.08277639777781e+001dB,-2.16164492460993e-003°)
2.34422881531992e+000	(2.08277639774882e+001dB,-2.21199610310350e-003°)
2.39883291901949e+000	(2.08277639771846e+001dB,-2.26352011120552e-003°)
2.45470891568503e+000	(2.08277639768667e+001dB,-2.31624426762679e-003°)
2.51188643150958e+000	(2.08277639765338e+001dB,-2.37019652741254e-003°)
2.57039578276886e+000	(2.08277639761853e+001dB,-2.42540549676471e-003°)
2.63026799189538e+000	(2.08277639758203e+001dB,-2.48190044820918e-003°)
2.69153480392691e+000	(2.08277639754380e+001dB,-2.53971133611660e-003°)
2.75422870333816e+000	(2.08277639750378e+001dB,-2.59886881258448e-003°)
2.81838293126445e+000	(2.08277639746188e+001dB,-2.65940424368935e-003°)
2.88403150312660e+000	(2.08277639741799e+001dB,-2.72134972611756e-003°)
2.95120922666638e+000	(2.08277639737204e+001dB,-2.78473810418327e-003°)
3.01995172040201e+000	(2.08277639732393e+001dB,-2.84960298724295e-003°)
3.09029543251359e+000	(2.08277639727354e+001dB,-2.91597876751552e-003°)
3.16227766016837e+000	(2.08277639722078e+001dB,-2.98390063831757e-003°)
3.23593656929628e+000	(2.08277639716554e+001dB,-3.05340461272327e-003°)
3.31131121482591e+000	(2.08277639710769e+001dB,-3.12452754265906e-003°)
3.38844156139202e+000	(2.08277639704712e+001dB,-3.19730713844291e-003°)
3.46736850452531e+000	(2.08277639698369e+001dB,-3.27178198877897e-003°)
3.54813389233575e+000	(2.08277639691727e+001dB,-3.34799158121765e-003°)
3.63078054770101e+000	(2.08277639684772e+001dB,-3.42597632309253e-003°)
3.71535229097172e+000	(2.08277639677489e+001dB,-3.50577756294488e-003°)
3.80189396320560e+000	(2.08277639669863e+001dB,-3.58743761244711e-003°)
3.89045144994280e+000	(2.08277639661878e+001dB,-3.67099976883708e-003°)
3.98107170553496e+000	(2.08277639653516e+001dB,-3.75650833787476e-003°)
4.07380277804112e+000	(2.08277639644761e+001dB,-3.84400865733375e-003°)
4.16869383470335e+000	(2.08277639635592e+001dB,-3.93354712104003e-003°)
4.26579518801592e+000	(2.08277639625992e+001dB,-4.02517120347050e-003°)
4.36515832240165e+000	(2.08277639615939e+001dB,-4.11892948492460e-003°)
4.46683592150962e+000	(2.08277639605412e+001dB,-4.21487167728220e-003°)
4.57088189614874e+000	(2.08277639594389e+001dB,-4.31304865036150e-003°)
4.67735141287197e+000	(2.08277639582847e+001dB,-4.41351245889081e-003°)
4.78630092322637e+000	(2.08277639570761e+001dB,-4.51631637010882e-003°)
4.89778819368445e+000	(2.08277639558105e+001dB,-4.62151489200734e-003°)
5.01187233627271e+000	(2.08277639544853e+001dB,-4.72916380223239e-003°)
5.12861383991364e+000	(2.08277639530976e+001dB,-4.83932017765802e-003°)
5.24807460249771e+000	(2.08277639516445e+001dB,-4.95204242464935e-003°)
5.37031796370252e+000	(2.08277639501229e+001dB,-5.06739031003029e-003°)
5.49540873857623e+000	(2.08277639485296e+001dB,-5.18542499277278e-003°)
5.62341325190348e+000	(2.08277639468613e+001dB,-5.30620905642402e-003°)
5.75439937337156e+000	(2.08277639451143e+001dB,-5.42980654228904e-003°)
5.88843655355588e+000	(2.08277639432850e+001dB,-5.55628298338631e-003°)
6.02559586074356e+000	(2.08277639413694e+001dB,-5.68570543919409e-003°)
