Freq.	V(6)
Step Information: Vcm=-12.84  (Run: 1/11)
1.00000000000000e+000	(1.57664499879562e+001dB,-6.15150108556035e-004°)
1.02329299228075e+000	(1.57664499879330e+001dB,-6.29478795285028e-004°)
1.04712854805090e+000	(1.57664499879088e+001dB,-6.44141240003316e-004°)
1.07151930523761e+000	(1.57664499878835e+001dB,-6.59145216933148e-004°)
1.09647819614318e+000	(1.57664499878569e+001dB,-6.74498681381712e-004°)
1.12201845430196e+000	(1.57664499878291e+001dB,-6.90209773959063e-004°)
1.14815362149688e+000	(1.57664499878000e+001dB,-7.06286824894434e-004°)
1.17489755493953e+000	(1.57664499877695e+001dB,-7.22738358453032e-004°)
1.20226443461741e+000	(1.57664499877376e+001dB,-7.39573097455676e-004°)
1.23026877081238e+000	(1.57664499877042e+001dB,-7.56799967903850e-004°)
1.25892541179417e+000	(1.57664499876692e+001dB,-7.74428103712250e-004°)
1.28824955169313e+000	(1.57664499876325e+001dB,-7.92466851551802e-004°)
1.31825673855641e+000	(1.57664499875942e+001dB,-8.10925775805374e-004°)
1.34896288259165e+000	(1.57664499875540e+001dB,-8.29814663638950e-004°)
1.38038426460288e+000	(1.57664499875119e+001dB,-8.49143530190844e-004°)
1.41253754462275e+000	(1.57664499874678e+001dB,-8.68922623881922e-004°)
1.44543977074593e+000	(1.57664499874217e+001dB,-8.89162431849462e-004°)
1.47910838816821e+000	(1.57664499873734e+001dB,-9.09873685507504e-004°)
1.51356124843621e+000	(1.57664499873228e+001dB,-9.31067366236919e-004°)
1.54881661891248e+000	(1.57664499872698e+001dB,-9.52754711207707e-004°)
1.58489319246111e+000	(1.57664499872144e+001dB,-9.74947219337210e-004°)
1.62181009735893e+000	(1.57664499871563e+001dB,-9.97656657386981e-004°)
1.65958690743756e+000	(1.57664499870955e+001dB,-1.02089506620161e-003°)
1.69824365246174e+000	(1.57664499870318e+001dB,-1.04467476709302e-003°)
1.73780082874937e+000	(1.57664499869651e+001dB,-1.06900836837341e-003°)
1.77827941003892e+000	(1.57664499868952e+001dB,-1.09390877204021e-003°)
1.81970085860998e+000	(1.57664499868221e+001dB,-1.11938918061697e-003°)
1.86208713666287e+000	(1.57664499867455e+001dB,-1.14546310415357e-003°)
1.90546071796325e+000	(1.57664499866654e+001dB,-1.17214436738937e-003°)
1.94984459975804e+000	(1.57664499865814e+001dB,-1.19944711708322e-003°)
1.99526231496888e+000	(1.57664499864935e+001dB,-1.22738582951445e-003°)
2.04173794466953e+000	(1.57664499864014e+001dB,-1.25597531815804e-003°)
2.08929613085404e+000	(1.57664499863050e+001dB,-1.28523074153930e-003°)
2.13796208950223e+000	(1.57664499862041e+001dB,-1.31516761127087e-003°)
2.18776162394955e+000	(1.57664499860984e+001dB,-1.34580180027730e-003°)
2.23872113856834e+000	(1.57664499859877e+001dB,-1.37714955121099e-003°)
2.29086765276777e+000	(1.57664499858718e+001dB,-1.40922748506440e-003°)
2.34422881531992e+000	(1.57664499857504e+001dB,-1.44205260998250e-003°)
2.39883291901949e+000	(1.57664499856234e+001dB,-1.47564233028100e-003°)
2.45470891568503e+000	(1.57664499854903e+001dB,-1.51001445567411e-003°)
2.51188643150958e+000	(1.57664499853510e+001dB,-1.54518721071760e-003°)
2.57039578276886e+000	(1.57664499852051e+001dB,-1.58117924447164e-003°)
2.63026799189538e+000	(1.57664499850523e+001dB,-1.61800964038884e-003°)
2.69153480392691e+000	(1.57664499848923e+001dB,-1.65569792643247e-003°)
2.75422870333816e+000	(1.57664499847248e+001dB,-1.69426408543054e-003°)
2.81838293126445e+000	(1.57664499845493e+001dB,-1.73372856567093e-003°)
2.88403150312660e+000	(1.57664499843657e+001dB,-1.77411229174325e-003°)
2.95120922666638e+000	(1.57664499841733e+001dB,-1.81543667563348e-003°)
3.01995172040201e+000	(1.57664499839719e+001dB,-1.85772362807677e-003°)
3.09029543251359e+000	(1.57664499837610e+001dB,-1.90099557017486e-003°)
3.16227766016837e+000	(1.57664499835402e+001dB,-1.94527544528406e-003°)
3.23593656929628e+000	(1.57664499833090e+001dB,-1.99058673118003e-003°)
3.31131121482591e+000	(1.57664499830668e+001dB,-2.03695345250607e-003°)
3.38844156139202e+000	(1.57664499828133e+001dB,-2.08440019351142e-003°)
3.46736850452531e+000	(1.57664499825478e+001dB,-2.13295211108583e-003°)
3.54813389233575e+000	(1.57664499822698e+001dB,-2.18263494809846e-003°)
3.63078054770101e+000	(1.57664499819786e+001dB,-2.23347504704679e-003°)
3.71535229097172e+000	(1.57664499816738e+001dB,-2.28549936402400e-003°)
3.80189396320560e+000	(1.57664499813546e+001dB,-2.33873548301109e-003°)
3.89045144994280e+000	(1.57664499810204e+001dB,-2.39321163050289e-003°)
3.98107170553496e+000	(1.57664499806704e+001dB,-2.44895669047321e-003°)
4.07380277804112e+000	(1.57664499803039e+001dB,-2.50600021969051e-003°)
4.16869383470335e+000	(1.57664499799201e+001dB,-2.56437246338854e-003°)
4.26579518801592e+000	(1.57664499795182e+001dB,-2.62410437130312e-003°)
4.36515832240165e+000	(1.57664499790975e+001dB,-2.68522761408186e-003°)
4.46683592150962e+000	(1.57664499786568e+001dB,-2.74777460007673e-003°)
4.57088189614874e+000	(1.57664499781954e+001dB,-2.81177849252700e-003°)
4.67735141287197e+000	(1.57664499777123e+001dB,-2.87727322714295e-003°)
4.78630092322637e+000	(1.57664499772064e+001dB,-2.94429353009922e-003°)
4.89778819368445e+000	(1.57664499766766e+001dB,-3.01287493644679e-003°)
5.01187233627271e+000	(1.57664499761219e+001dB,-3.08305380895435e-003°)
5.12861383991364e+000	(1.57664499755411e+001dB,-3.15486735738821e-003°)
5.24807460249771e+000	(1.57664499749329e+001dB,-3.22835365824147e-003°)
5.37031796370252e+000	(1.57664499742960e+001dB,-3.30355167492254e-003°)
5.49540873857623e+000	(1.57664499736291e+001dB,-3.38050127841425e-003°)
5.62341325190348e+000	(1.57664499729307e+001dB,-3.45924326841383e-003°)
5.75439937337156e+000	(1.57664499721995e+001dB,-3.53981939496552e-003°)
5.88843655355588e+000	(1.57664499714338e+001dB,-3.62227238059689e-003°)
6.02559586074356e+000	(1.57664499706320e+001dB,-3.70664594297104e-003°)
6.16595001861481e+000	(1.57664499697924e+001dB,-3.79298481806620e-003°)
6.30957344480192e+000	(1.57664499689132e+001dB,-3.88133478389505e-003°)
6.45654229034654e+000	(1.57664499679926e+001dB,-3.97174268477748e-003°)
6.60693448007594e+000	(1.57664499670286e+001dB,-4.06425645617735e-003°)
6.76082975391980e+000	(1.57664499660192e+001dB,-4.15892515011916e-003°)
6.91830970918935e+000	(1.57664499649622e+001dB,-4.25579896119523e-003°)
7.07945784384136e+000	(1.57664499638555e+001dB,-4.35492925318048e-003°)
7.24435960074988e+000	(1.57664499626965e+001dB,-4.45636858626545e-003°)
7.41310241300916e+000	(1.57664499614829e+001dB,-4.56017074492499e-003°)
7.58577575029182e+000	(1.57664499602122e+001dB,-4.66639076643489e-003°)
7.76247116628690e+000	(1.57664499588815e+001dB,-4.77508497005353e-003°)
7.94328234724279e+000	(1.57664499574882e+001dB,-4.88631098688345e-003°)
8.12830516164097e+000	(1.57664499560291e+001dB,-5.00012779042801e-003°)
8.31763771102669e+000	(1.57664499545013e+001dB,-5.11659572785897e-003°)
8.51138038202374e+000	(1.57664499529015e+001dB,-5.23577655201520e-003°)
8.70963589956078e+000	(1.57664499512263e+001dB,-5.35773345414292e-003°)
8.91250938133743e+000	(1.57664499494721e+001dB,-5.48253109740180e-003°)
9.12010839355907e+000	(1.57664499476353e+001dB,-5.61023565114939e-003°)
9.33254300796988e+000	(1.57664499457119e+001dB,-5.74091482602573e-003°)
9.54992586021433e+000	(1.57664499436979e+001dB,-5.87463790985356e-003°)
9.77237220955808e+000	(1.57664499415889e+001dB,-6.01147580437652e-003°)
