Freq.	V(6)
Step Information: Vcm=14.99  (Run: 1/11)
1.00000000000000e+000	(1.49611309486894e+001dB,-6.82707406281708e-005°)
1.02329299228075e+000	(1.49611309486892e+001dB,-6.98609704626230e-005°)
1.04712854805090e+000	(1.49611309486889e+001dB,-7.14882415083337e-005°)
1.07151930523761e+000	(1.49611309486887e+001dB,-7.31534165659507e-005°)
1.09647819614318e+000	(1.49611309486884e+001dB,-7.48573785333306e-005°)
1.12201845430196e+000	(1.49611309486881e+001dB,-7.66010308736636e-005°)
1.14815362149688e+000	(1.49611309486878e+001dB,-7.83852980944999e-005°)
1.17489755493953e+000	(1.49611309486875e+001dB,-8.02111262379380e-005°)
1.20226443461741e+000	(1.49611309486872e+001dB,-8.20794833822270e-005°)
1.23026877081238e+000	(1.49611309486868e+001dB,-8.39913601550555e-005°)
1.25892541179417e+000	(1.49611309486864e+001dB,-8.59477702587951e-005°)
1.28824955169313e+000	(1.49611309486861e+001dB,-8.79497510079790e-005°)
1.31825673855641e+000	(1.49611309486857e+001dB,-8.99983638792997e-005°)
1.34896288259165e+000	(1.49611309486853e+001dB,-9.20946950744181e-005°)
1.38038426460288e+000	(1.49611309486848e+001dB,-9.42398560958821e-005°)
1.41253754462275e+000	(1.49611309486844e+001dB,-9.64349843364598e-005°)
1.44543977074593e+000	(1.49611309486839e+001dB,-9.86812436822004e-005°)
1.47910838816821e+000	(1.49611309486834e+001dB,-1.00979825129542e-004°)
1.51356124843621e+000	(1.49611309486829e+001dB,-1.03331947416792e-004°)
1.54881661891248e+000	(1.49611309486823e+001dB,-1.05738857670323e-004°)
1.58489319246111e+000	(1.49611309486818e+001dB,-1.08201832065809e-004°)
1.62181009735893e+000	(1.49611309486812e+001dB,-1.10722176504877e-004°)
1.65958690743756e+000	(1.49611309486805e+001dB,-1.13301227307508e-004°)
1.69824365246174e+000	(1.49611309486799e+001dB,-1.15940351920577e-004°)
1.73780082874937e+000	(1.49611309486792e+001dB,-1.18640949642885e-004°)
1.77827941003892e+000	(1.49611309486785e+001dB,-1.21404452367092e-004°)
1.81970085860998e+000	(1.49611309486777e+001dB,-1.24232325338922e-004°)
1.86208713666287e+000	(1.49611309486769e+001dB,-1.27126067934054e-004°)
1.90546071796325e+000	(1.49611309486761e+001dB,-1.30087214453117e-004°)
1.94984459975804e+000	(1.49611309486753e+001dB,-1.33117334935191e-004°)
1.99526231496888e+000	(1.49611309486744e+001dB,-1.36218035990262e-004°)
2.04173794466953e+000	(1.49611309486734e+001dB,-1.39390961651074e-004°)
2.08929613085404e+000	(1.49611309486724e+001dB,-1.42637794244809e-004°)
2.13796208950223e+000	(1.49611309486714e+001dB,-1.45960255285087e-004°)
2.18776162394955e+000	(1.49611309486703e+001dB,-1.49360106384728e-004°)
2.23872113856834e+000	(1.49611309486691e+001dB,-1.52839150189788e-004°)
2.29086765276777e+000	(1.49611309486680e+001dB,-1.56399231335343e-004°)
2.34422881531992e+000	(1.49611309486667e+001dB,-1.60042237423539e-004°)
2.39883291901949e+000	(1.49611309486654e+001dB,-1.63770100024426e-004°)
2.45470891568503e+000	(1.49611309486640e+001dB,-1.67584795700097e-004°)
2.51188643150958e+000	(1.49611309486626e+001dB,-1.71488347052694e-004°)
2.57039578276886e+000	(1.49611309486611e+001dB,-1.75482823796814e-004°)
2.63026799189538e+000	(1.49611309486595e+001dB,-1.79570343856898e-004°)
2.69153480392691e+000	(1.49611309486579e+001dB,-1.83753074490189e-004°)
2.75422870333816e+000	(1.49611309486561e+001dB,-1.88033233435831e-004°)
2.81838293126445e+000	(1.49611309486543e+001dB,-1.92413090090753e-004°)
2.88403150312660e+000	(1.49611309486524e+001dB,-1.96894966712927e-004°)
2.95120922666638e+000	(1.49611309486505e+001dB,-2.01481239652663e-004°)
3.01995172040201e+000	(1.49611309486484e+001dB,-2.06174340612580e-004°)
3.09029543251359e+000	(1.49611309486462e+001dB,-2.10976757936926e-004°)
3.16227766016837e+000	(1.49611309486439e+001dB,-2.15891037930936e-004°)
