time	V(a)
0.000000000000000e+000	0.000000e+000
2.925714202969436e-007	1.838295e-003
5.851428405938872e-007	3.676555e-003
8.777142608908308e-007	5.514780e-003
1.170285681187774e-006	7.352970e-003
1.462857101484718e-006	9.191125e-003
1.755428521781662e-006	1.102925e-002
2.047999942078604e-006	1.286733e-002
3.917554926153253e-006	2.461093e-002
6.612732522211283e-006	4.153245e-002
1.054734953880789e-005	6.620842e-002
1.578703685308446e-005	9.899246e-002
2.289572652333347e-005	1.432668e-001
3.211905243380652e-005	2.002131e-001
4.434355322694538e-005	2.744843e-001
6.030095006169462e-005	3.685992e-001
8.173156028115110e-005	4.881777e-001
1.106475216921970e-004	6.330656e-001
1.506661909583593e-004	7.977331e-001
1.935837606092166e-004	9.303716e-001
2.127963678806341e-004	9.699329e-001
2.283994215597382e-004	9.883015e-001
2.448117145819718e-004	9.965152e-001
2.630710331058477e-004	9.924716e-001
2.862745760609025e-004	9.658396e-001
3.238697452689416e-004	8.750126e-001
3.836348985814353e-004	6.417078e-001
4.519536533026818e-004	2.864028e-001
5.006652381987772e-004	-4.362698e-003
5.430583141296201e-004	-2.624697e-001
5.859495237214812e-004	-5.028620e-001
6.368541684534204e-004	-7.403297e-001
6.833780526859225e-004	-9.047350e-001
7.052677286825226e-004	-9.574038e-001
7.215210277566705e-004	-9.812672e-001
7.390513896492765e-004	-9.938618e-001
7.609251798822915e-004	-9.929443e-001
7.827842830640567e-004	-9.714399e-001
8.182378892458046e-004	-8.919871e-001
8.748114347468788e-004	-6.801919e-001
9.487372541979627e-004	-3.034798e-001
9.986276686917424e-004	-8.113157e-003
1.040840726653887e-003	2.492900e-001
1.083590370731774e-003	4.905593e-001
1.133837887445607e-003	7.275319e-001
1.182355104570141e-003	9.016560e-001
1.204518394126561e-003	9.560114e-001
1.220958473514929e-003	9.806212e-001
1.238370123483685e-003	9.935116e-001
1.260670889146132e-003	9.929950e-001
1.282370584352529e-003	9.720702e-001
1.317569682424889e-003	8.939266e-001
1.373761018089756e-003	6.846322e-001
1.448403576274978e-003	3.051942e-001
1.498436334870460e-003	9.282206e-003
1.540629473477767e-003	-2.480327e-001
1.583360268418880e-003	-4.893513e-001
1.633555056664921e-003	-7.263159e-001
1.682262034559860e-003	-9.013723e-001
1.704450268173621e-003	-9.558837e-001
1.720907347879037e-003	-9.805619e-001
1.738308241007368e-003	-9.934790e-001
1.760647784262546e-003	-9.929996e-001
1.782332994789481e-003	-9.721270e-001
1.817508960912989e-003	-8.941020e-001
1.873665528189143e-003	-6.850343e-001
1.948373804221076e-003	-3.053465e-001
1.998419523448051e-003	-9.384883e-003
2.040610863392324e-003	2.479219e-001
2.083339918720522e-003	4.892444e-001
2.133530208768968e-003	7.262089e-001
2.182253904124588e-003	9.013475e-001
2.204444317206844e-003	9.558725e-001
2.220902882083345e-003	9.805567e-001
2.238302835861262e-003	9.934761e-001
2.260645766105962e-003	9.930000e-001
2.282329711423930e-003	9.721320e-001
2.317503656969183e-003	8.941174e-001
2.373657186987966e-003	6.850694e-001
2.448371207998602e-003	3.053598e-001
2.498418059518275e-003	9.393828e-003
2.540609242443921e-003	-2.479123e-001
2.583338145612165e-003	-4.892350e-001
2.633528045064123e-003	-7.261996e-001
2.682253196522544e-003	-9.013453e-001
2.704443799289725e-003	-9.558716e-001
2.720902493422943e-003	-9.805563e-001
2.738302365450659e-003	-9.934759e-001
2.760645590465119e-003	-9.930000e-001
2.782329425671476e-003	-9.721324e-001
2.817503195364689e-003	-8.941187e-001
2.873656461047504e-003	-6.850724e-001
2.948370982081068e-003	-3.053609e-001
2.998417932146164e-003	-9.394607e-003
