time	V(a)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	6.283185e-007
1.999999887924986e-010	1.256637e-006
4.729771323633993e-006	2.974852e-002
9.459342647279194e-006	5.940464e-002
1.418891397092440e-005	8.896960e-002
1.891848529456960e-005	1.184434e-001
2.364805661821480e-005	1.478261e-001
2.837762794186000e-005	1.771176e-001
3.310719926550519e-005	2.063179e-001
5.310719926550518e-005	3.272014e-001
7.310719926550518e-005	4.429246e-001
9.310719926550518e-005	5.516627e-001
1.131071992655052e-004	6.517007e-001
1.331071992655052e-004	7.414610e-001
1.531071992655052e-004	8.195281e-001
1.731071992655052e-004	8.846707e-001
1.931071992655052e-004	9.358615e-001
2.131071992655052e-004	9.722933e-001
2.331071992655052e-004	9.933913e-001
2.531071992655052e-004	9.988230e-001
2.731071992655052e-004	9.885026e-001
2.931071992655053e-004	9.625930e-001
3.131071992655053e-004	9.215027e-001
3.331071992655054e-004	8.658798e-001
3.531071992655054e-004	7.966014e-001
3.731071992655055e-004	7.147602e-001
3.931071992655055e-004	6.216467e-001
4.131071992655056e-004	5.187295e-001
4.331071992655056e-004	4.076317e-001
4.531071992655057e-004	2.901052e-001
4.731071992655057e-004	1.680036e-001
4.931071992655058e-004	4.325249e-002
5.131071992655059e-004	-8.218074e-002
5.331071992655059e-004	-2.063179e-001
5.531071992655060e-004	-3.272014e-001
5.731071992655060e-004	-4.429246e-001
5.931071992655061e-004	-5.516627e-001
6.131071992655061e-004	-6.517007e-001
6.331071992655062e-004	-7.414610e-001
6.531071992655062e-004	-8.195281e-001
6.731071992655063e-004	-8.846707e-001
6.931071992655063e-004	-9.358615e-001
7.131071992655064e-004	-9.722933e-001
7.331071992655064e-004	-9.933913e-001
7.531071992655065e-004	-9.988230e-001
7.731071992655065e-004	-9.885026e-001
7.931071992655066e-004	-9.625930e-001
8.131071992655066e-004	-9.215028e-001
8.331071992655067e-004	-8.658798e-001
8.531071992655067e-004	-7.966014e-001
8.731071992655068e-004	-7.147602e-001
8.931071992655068e-004	-6.216467e-001
9.131071992655069e-004	-5.187295e-001
9.331071992655070e-004	-4.076317e-001
9.531071992655070e-004	-2.901052e-001
9.731071992655071e-004	-1.680036e-001
9.931071992655071e-004	-4.325249e-002
1.013107199265507e-003	8.218074e-002
1.033107199265507e-003	2.063179e-001
1.053107199265507e-003	3.272014e-001
1.073107199265507e-003	4.429246e-001
1.093107199265507e-003	5.516627e-001
