time	V(a)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	6.283185e-006
1.999999943436137e-009	1.256637e-005
2.342285648041351e-006	1.472529e-002
4.682571296139266e-006	2.941904e-002
7.022856944237181e-006	4.409383e-002
9.363142592335095e-006	5.874966e-002
1.170342824043301e-005	7.338652e-002
1.404371388853093e-005	8.800441e-002
1.638399953662884e-005	1.026033e-001
3.276799907325767e-005	2.031780e-001
6.553599814651534e-005	3.915052e-001
1.256967063255826e-004	6.880575e-001
1.794755991393526e-004	8.928334e-001
2.024145675483520e-004	9.519835e-001
2.193811395651050e-004	9.787461e-001
2.364634148622022e-004	9.924396e-001
2.599584513264755e-004	9.931312e-001
2.812114487780737e-004	9.737977e-001
3.156967233880063e-004	8.992773e-001
3.708128907604326e-004	7.008046e-001
4.352389586662007e-004	3.822275e-001
4.863730472044391e-004	8.330125e-002
5.334377127274933e-004	-2.040216e-001
5.805400721613549e-004	-4.720690e-001
6.355530070900683e-004	-7.344338e-001
6.807311429833830e-004	-8.978817e-001
7.033308889706246e-004	-9.537593e-001
7.200677637359711e-004	-9.795739e-001
7.372927785179512e-004	-9.929225e-001
7.602684811343465e-004	-9.930730e-001
7.817158828706967e-004	-9.730528e-001
8.165119293326665e-004	-8.969640e-001
8.720967555816911e-004	-6.954402e-001
9.357767755608033e-004	-3.794621e-001
9.866927668251426e-004	-8.136639e-002
1.033716583168298e-003	2.056931e-001
1.080867016127210e-003	4.737880e-001
1.135956371805129e-003	7.361552e-001
1.180860236407363e-003	8.982846e-001
1.203425192595018e-003	9.539402e-001
1.220138461781136e-003	9.796581e-001
1.237378230131602e-003	9.929708e-001
1.260300411809703e-003	9.930669e-001
1.281767834308589e-003	9.729755e-001
1.316595875780458e-003	8.967243e-001
1.372228902271419e-003	6.948855e-001
1.435832826569315e-003	3.791963e-001
1.486607280948212e-003	8.190237e-002
1.533757037061769e-003	-2.059122e-001
1.581031308576853e-003	-4.746450e-001
1.636100434050518e-003	-7.367892e-001
1.680891180043191e-003	-8.983899e-001
1.703447799573265e-003	-9.539835e-001
1.720155410833139e-003	-9.796783e-001
1.737398717737940e-003	-9.929824e-001
1.760308067066593e-003	-9.930654e-001
1.781780289427815e-003	-9.729570e-001
1.816616001242886e-003	-8.966669e-001
1.872260581661415e-003	-6.947524e-001
1.935846282328280e-003	-3.791527e-001
1.986483547283248e-003	-8.267183e-002
2.033764052373744e-003	2.059292e-001
2.081167299380026e-003	4.753523e-001
2.136204241697595e-003	7.372531e-001
2.180907733639423e-003	8.984511e-001
2.203459893781588e-003	9.540067e-001
2.220164478330154e-003	9.796891e-001
2.237409678556772e-003	9.929886e-001
2.260312162556308e-003	9.930646e-001
2.281786952792136e-003	9.729470e-001
2.316626768114293e-003	8.966361e-001
2.372277529473135e-003	6.946812e-001
2.435853483697943e-003	3.791422e-001
2.486352160010830e-003	8.348819e-002
2.533765495771735e-003	-2.059123e-001
2.581299852097505e-003	-4.760410e-001
2.636302412276759e-003	-7.376934e-001
2.680922078305425e-003	-8.985058e-001
2.703470374343688e-003	-9.540267e-001
2.720172336097330e-003	-9.796984e-001
2.737419177189335e-003	-9.929939e-001
2.760315711672508e-003	-9.930639e-001
2.781792727202941e-003	-9.729384e-001
2.816636098558820e-003	-8.966095e-001
2.872292216097606e-003	-6.946195e-001
2.935859725894544e-003	-3.791373e-001
2.986217540623805e-003	-8.432450e-002
3.033765403010416e-003	2.058858e-001
3.081432577156593e-003	4.767301e-001
3.136399968233732e-003	7.381310e-001
