Freq.	V(b)
1.00000000000000e+000	(-1.07157868179457e-007dB,-8.99999992597797e-003°)
1.02329299228075e+000	(-1.12208061793172e-007dB,-9.20963685121075e-003°)
1.04712854805090e+000	(-1.17496263968041e-007dB,-9.42415684746943e-003°)
1.07151930523761e+000	(-1.23033692726077e-007dB,-9.64367365607146e-003°)
1.09647819614318e+000	(-1.28832091647819e-007dB,-9.86830366770862e-003°)
1.12201845430196e+000	(-1.34903761695143e-007dB,-1.00981659841588e-002°)
1.14815362149688e+000	(-1.41261579533494e-007dB,-1.03333824814351e-002°)
1.17489755493953e+000	(-1.47919032247676e-007dB,-1.05740778744061e-002°)
1.20226443461741e+000	(-1.54890242414377e-007dB,-1.08203797829212e-002°)
1.23026877081238e+000	(-1.62189992210365e-007dB,-1.10724187994760e-002°)
1.25892541179417e+000	(-1.69833772593193e-007dB,-1.13303285584541e-002°)
1.28824955169313e+000	(-1.77837791980158e-007dB,-1.15942458069819e-002°)
1.31825673855641e+000	(-1.86219028321997e-007dB,-1.18643104774330e-002°)
1.34896288259165e+000	(-1.94995260925702e-007dB,-1.21406657616223e-002°)
1.38038426460288e+000	(-2.04185103241667e-007dB,-1.24234581867282e-002°)
1.41253754462275e+000	(-2.13808052044404e-007dB,-1.27128376929824e-002°)
1.44543977074593e+000	(-2.23884512505070e-007dB,-1.30089577131704e-002°)
1.47910838816821e+000	(-2.34435864730081e-007dB,-1.33119752539833e-002°)
1.51356124843621e+000	(-2.45484486904990e-007dB,-1.36220509792642e-002°)
1.54881661891248e+000	(-2.57053813154152e-007dB,-1.39393492951944e-002°)
1.58489319246111e+000	(-2.69168387543088e-007dB,-1.42640384374630e-002°)
1.62181009735893e+000	(-2.81853900722948e-007dB,-1.45962905604675e-002°)
1.65958690743756e+000	(-2.95137267076740e-007dB,-1.49362818285921e-002°)
1.69824365246174e+000	(-3.09046657506491e-007dB,-1.52841925096115e-002°)
1.73780082874937e+000	(-3.23611576579472e-007dB,-1.56402070702712e-002°)
1.77827941003892e+000	(-3.38862920387889e-007dB,-1.60045142740938e-002°)
1.81970085860998e+000	(-3.54833036337216e-007dB,-1.63773072814630e-002°)
1.86208713666287e+000	(-3.71555801256767e-007dB,-1.67587837520394e-002°)
1.90546071796325e+000	(-3.89066686009681e-007dB,-1.71491459495619e-002°)
1.94984459975804e+000	(-4.07402833603495e-007dB,-1.75486008490895e-002°)
1.99526231496888e+000	(-4.26603135372071e-007dB,-1.79573602467420e-002°)
2.04173794466953e+000	(-4.46708321622441e-007dB,-1.83756408719961e-002°)
2.08929613085404e+000	(-4.67761034923754e-007dB,-1.88036645025974e-002°)
2.13796208950223e+000	(-4.89805931361741e-007dB,-1.92416580821493e-002°)
2.18776162394955e+000	(-5.12889773114223e-007dB,-1.96898538404402e-002°)
2.23872113856834e+000	(-5.37061522955300e-007dB,-2.01484894165742e-002°)
