time	V(a)	I(I1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999960041972e-013	-1.998786e-005	2.000000e-004
1.999999992008394e-012	-3.997122e-005	4.000000e-004
3.999999984016789e-012	-7.991908e-005	8.000000e-004
7.999999968033578e-012	-1.597361e-004	1.600000e-003
1.594807115157767e-011	-3.180152e-004	3.189614e-003
3.184421351866586e-011	-6.335229e-004	6.368843e-003
5.332277851779125e-011	-1.057805e-003	1.066456e-002
7.868325665785403e-011	-1.555874e-003	1.573665e-002
1.019259931768289e-010	-2.009441e-003	2.038520e-002
1.266385345091494e-010	-2.488283e-003	2.532771e-002
1.585060970341359e-010	-3.100839e-003	3.170122e-002
1.975518512920638e-010	-3.844052e-003	3.951037e-002
2.475085130147781e-010	-4.783346e-003	4.950170e-002
3.090690416517682e-010	-5.923155e-003	6.181381e-002
3.871780099610692e-010	-7.341767e-003	7.743561e-002
4.843009365654207e-010	-9.063628e-003	9.686019e-002
6.073423483543097e-010	-1.117984e-002	1.214685e-001
7.615714064784515e-010	-1.373322e-002	1.523143e-001
9.574057926477102e-010	-1.682324e-002	1.914812e-001
1.205089029204894e-009	-2.050102e-002	2.410178e-001
1.521722705024585e-009	-2.485396e-002	3.043445e-001
1.927167482148902e-009	-2.990706e-002	3.854335e-001
2.452386282215140e-009	-3.568107e-002	4.904773e-001
3.138239773910547e-009	-4.209856e-002	6.276479e-001
4.048731444646342e-009	-4.911383e-002	8.097463e-001
5.000000000000000e-009	-5.530776e-002	1.000000e+000
5.285380566606098e-009	-4.600356e-002	9.429239e-001
5.665887988747561e-009	-3.482499e-002	8.668224e-001
6.426902833030488e-009	-1.597013e-002	7.146195e-001
7.761134736401999e-009	1.036116e-002	4.477730e-001
8.696058182058374e-009	2.414305e-002	2.607884e-001
1.000000000000000e-008	3.881766e-002	0.000000e+000
1.039118254538249e-008	3.468459e-002	0.000000e+000
1.091275927255914e-008	2.987179e-002	0.000000e+000
1.195591272691244e-008	2.195576e-002	0.000000e+000
1.328419052399592e-008	1.422213e-002	0.000000e+000
1.456768332617068e-008	8.802678e-003	0.000000e+000
1.576903925182468e-008	5.178731e-003	0.000000e+000
1.689556023162756e-008	2.700682e-003	0.000000e+000
1.787902643400282e-008	1.069092e-003	0.000000e+000
1.861666965354055e-008	1.248078e-004	0.000000e+000
1.952291312032210e-008	-7.891743e-004	0.000000e+000
2.033977786162526e-008	-1.428096e-003	0.000000e+000
2.171883026288854e-008	-2.222611e-003	0.000000e+000
2.311744853759596e-008	-2.778770e-003	0.000000e+000
2.507857021608204e-008	-3.259121e-003	0.000000e+000
2.706533371105953e-008	-3.526387e-003	0.000000e+000
2.974782574550133e-008	-3.678433e-003	0.000000e+000
3.263071069136715e-008	-3.708716e-003	0.000000e+000
