time	V(a)	I(I1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999960041972e-013	-1.998785e-005	2.000000e-004
1.999999992008394e-012	-3.997119e-005	4.000000e-004
3.999999984016789e-012	-7.991899e-005	8.000000e-004
7.999999968033578e-012	-1.597358e-004	1.600000e-003
1.594808285234169e-011	-3.180144e-004	3.189617e-003
3.184424862095793e-011	-6.335201e-004	6.368850e-003
5.331846259245957e-011	-1.057711e-003	1.066369e-002
7.866858761880525e-011	-1.555568e-003	1.573372e-002
1.019038493153347e-010	-2.008980e-003	2.038077e-002
1.266065860892139e-010	-2.487619e-003	2.532132e-002
1.584691002448410e-010	-3.100057e-003	3.169382e-002
1.975036851937965e-010	-3.843027e-003	3.950074e-002
2.474512947560081e-010	-4.782101e-003	4.949026e-002
3.089958883378917e-010	-5.921541e-003	6.179918e-002
3.870898667651583e-010	-7.339765e-003	7.741797e-002
4.841901034388706e-010	-9.061046e-003	9.683802e-002
6.072082737149855e-010	-1.117659e-002	1.214417e-001
7.614053221451004e-010	-1.372902e-002	1.522811e-001
9.572057992263410e-010	-1.681787e-002	1.914412e-001
1.204845906737060e-009	-2.049406e-002	2.409692e-001
1.521435027077736e-009	-2.484495e-002	3.042870e-001
1.926829429357839e-009	-2.989529e-002	3.853659e-001
2.452005168626604e-009	-3.566571e-002	4.904010e-001
3.137829887942882e-009	-4.207845e-002	6.275660e-001
4.048343913682881e-009	-4.908754e-002	8.096688e-001
5.000000000000000e-009	-5.527715e-002	1.000000e+000
5.285496825895136e-009	-4.596802e-002	9.429007e-001
5.666159260421984e-009	-3.478519e-002	8.667681e-001
6.427484129475679e-009	-1.592676e-002	7.145032e-001
7.761377553083990e-009	1.038492e-002	4.477245e-001
8.696671140697320e-009	2.416117e-002	2.606658e-001
1.000000000000000e-008	3.881304e-002	0.000000e+000
1.039099865779081e-008	3.467796e-002	0.000000e+000
1.091233020151188e-008	2.986321e-002	0.000000e+000
1.195499328895402e-008	2.194467e-002	0.000000e+000
1.328197157726067e-008	1.421308e-002	0.000000e+000
1.456389940235790e-008	8.796683e-003	0.000000e+000
1.576381380268550e-008	5.174685e-003	0.000000e+000
1.688895186875448e-008	2.697931e-003	0.000000e+000
1.787107067396834e-008	1.067325e-003	0.000000e+000
