Freq.	V(a)
1.00000000000000e+000	(-2.00000000000021e+001dB,1.79999960400000e+002°)
1.02329299228075e+000	(-2.00000000000022e+001dB,1.79999959477598e+002°)
1.04712854805090e+000	(-2.00000000000024e+001dB,1.79999958533710e+002°)
1.07151930523761e+000	(-2.00000000000024e+001dB,1.79999957567836e+002°)
1.09647819614318e+000	(-2.00000000000027e+001dB,1.79999956579463e+002°)
1.12201845430196e+000	(-2.00000000000026e+001dB,1.79999955568069e+002°)
1.14815362149688e+000	(-2.00000000000028e+001dB,1.79999954533117e+002°)
1.17489755493953e+000	(-2.00000000000031e+001dB,1.79999953474057e+002°)
1.20226443461741e+000	(-2.00000000000030e+001dB,1.79999952390328e+002°)
1.23026877081238e+000	(-2.00000000000032e+001dB,1.79999951281357e+002°)
1.25892541179417e+000	(-2.00000000000032e+001dB,1.79999950146554e+002°)
1.28824955169313e+000	(-2.00000000000035e+001dB,1.79999948985318e+002°)
1.31825673855641e+000	(-2.00000000000038e+001dB,1.79999947797033e+002°)
1.34896288259165e+000	(-2.00000000000037e+001dB,1.79999946581070e+002°)
1.38038426460288e+000	(-2.00000000000042e+001dB,1.79999945336783e+002°)
1.41253754462275e+000	(-2.00000000000042e+001dB,1.79999944063513e+002°)
1.44543977074593e+000	(-2.00000000000044e+001dB,1.79999942760585e+002°)
1.47910838816821e+000	(-2.00000000000046e+001dB,1.79999941427308e+002°)
1.51356124843621e+000	(-2.00000000000048e+001dB,1.79999940062975e+002°)
1.54881661891248e+000	(-2.00000000000051e+001dB,1.79999938666862e+002°)
1.58489319246111e+000	(-2.00000000000052e+001dB,1.79999937238230e+002°)
1.62181009735893e+000	(-2.00000000000056e+001dB,1.79999935776320e+002°)
1.65958690743756e+000	(-2.00000000000058e+001dB,1.79999934280358e+002°)
1.69824365246174e+000	(-2.00000000000060e+001dB,1.79999932749551e+002°)
1.73780082874937e+000	(-2.00000000000064e+001dB,1.79999931183087e+002°)
1.77827941003892e+000	(-2.00000000000066e+001dB,1.79999929580135e+002°)
1.81970085860998e+000	(-2.00000000000069e+001dB,1.79999927939846e+002°)
1.86208713666287e+000	(-2.00000000000073e+001dB,1.79999926261349e+002°)
1.90546071796325e+000	(-2.00000000000077e+001dB,1.79999924543756e+002°)
1.94984459975804e+000	(-2.00000000000080e+001dB,1.79999922786154e+002°)
1.99526231496888e+000	(-2.00000000000084e+001dB,1.79999920987612e+002°)
2.04173794466953e+000	(-2.00000000000086e+001dB,1.79999919147177e+002°)
2.08929613085404e+000	(-2.00000000000092e+001dB,1.79999917263873e+002°)
2.13796208950223e+000	(-2.00000000000097e+001dB,1.79999915336701e+002°)
2.18776162394955e+000	(-2.00000000000100e+001dB,1.79999913364640e+002°)
2.23872113856834e+000	(-2.00000000000106e+001dB,1.79999911346643e+002°)
2.29086765276777e+000	(-2.00000000000112e+001dB,1.79999909281641e+002°)
2.34422881531992e+000	(-2.00000000000117e+001dB,1.79999907168539e+002°)
2.39883291901949e+000	(-2.00000000000121e+001dB,1.79999905006216e+002°)
2.45470891568503e+000	(-2.00000000000128e+001dB,1.79999902793527e+002°)
2.51188643150958e+000	(-2.00000000000133e+001dB,1.79999900529297e+002°)
2.57039578276886e+000	(-2.00000000000140e+001dB,1.79999898212327e+002°)
2.63026799189538e+000	(-2.00000000000145e+001dB,1.79999895841388e+002°)
2.69153480392691e+000	(-2.00000000000152e+001dB,1.79999893415222e+002°)
2.75422870333816e+000	(-2.00000000000160e+001dB,1.79999890932543e+002°)
2.81838293126445e+000	(-2.00000000000170e+001dB,1.79999888392036e+002°)
2.88403150312660e+000	(-2.00000000000177e+001dB,1.79999885792352e+002°)
2.95120922666638e+000	(-2.00000000000184e+001dB,1.79999883132115e+002°)
3.01995172040201e+000	(-2.00000000000192e+001dB,1.79999880409912e+002°)
3.09029543251359e+000	(-2.00000000000201e+001dB,1.79999877624301e+002°)
3.16227766016837e+000	(-2.00000000000212e+001dB,1.79999874773805e+002°)
3.23593656929628e+000	(-2.00000000000222e+001dB,1.79999871856912e+002°)
3.31131121482591e+000	(-2.00000000000231e+001dB,1.79999868872076e+002°)
3.38844156139202e+000	(-2.00000000000243e+001dB,1.79999865817714e+002°)
3.46736850452531e+000	(-2.00000000000255e+001dB,1.79999862692207e+002°)
3.54813389233575e+000	(-2.00000000000267e+001dB,1.79999859493898e+002°)
3.63078054770101e+000	(-2.00000000000277e+001dB,1.79999856221090e+002°)
3.71535229097172e+000	(-2.00000000000292e+001dB,1.79999852872049e+002°)
3.80189396320560e+000	(-2.00000000000306e+001dB,1.79999849444999e+002°)
3.89045144994280e+000	(-2.00000000000320e+001dB,1.79999845938123e+002°)
3.98107170553496e+000	(-2.00000000000335e+001dB,1.79999842349560e+002°)
4.07380277804112e+000	(-2.00000000000352e+001dB,1.79999838677410e+002°)
4.16869383470335e+000	(-2.00000000000368e+001dB,1.79999834919724e+002°)
4.26579518801592e+000	(-2.00000000000384e+001dB,1.79999831074511e+002°)
4.36515832240165e+000	(-2.00000000000404e+001dB,1.79999827139730e+002°)
4.46683592150962e+000	(-2.00000000000423e+001dB,1.79999823113298e+002°)
4.57088189614874e+000	(-2.00000000000442e+001dB,1.79999818993077e+002°)
4.67735141287197e+000	(-2.00000000000463e+001dB,1.79999814776884e+002°)
4.78630092322637e+000	(-2.00000000000484e+001dB,1.79999810462483e+002°)
4.89778819368445e+000	(-2.00000000000507e+001dB,1.79999806047588e+002°)
5.01187233627271e+000	(-2.00000000000530e+001dB,1.79999801529855e+002°)
5.12861383991364e+000	(-2.00000000000557e+001dB,1.79999796906892e+002°)
5.24807460249771e+000	(-2.00000000000583e+001dB,1.79999792176246e+002°)
5.37031796370252e+000	(-2.00000000000610e+001dB,1.79999787335409e+002°)
5.49540873857623e+000	(-2.00000000000639e+001dB,1.79999782381814e+002°)
5.62341325190348e+000	(-2.00000000000669e+001dB,1.79999777312835e+002°)
5.75439937337156e+000	(-2.00000000000700e+001dB,1.79999772125785e+002°)
5.88843655355588e+000	(-2.00000000000734e+001dB,1.79999766817912e+002°)
6.02559586074356e+000	(-2.00000000000769e+001dB,1.79999761386404e+002°)
6.16595001861481e+000	(-2.00000000000805e+001dB,1.79999755828379e+002°)
6.30957344480192e+000	(-2.00000000000842e+001dB,1.79999750140892e+002°)
6.45654229034654e+000	(-2.00000000000884e+001dB,1.79999744320925e+002°)
6.60693448007594e+000	(-2.00000000000925e+001dB,1.79999738365395e+002°)
6.76082975391980e+000	(-2.00000000000966e+001dB,1.79999732271142e+002°)
6.91830970918935e+000	(-2.00000000001013e+001dB,1.79999726034936e+002°)
7.07945784384136e+000	(-2.00000000001060e+001dB,1.79999719653469e+002°)
7.24435960074988e+000	(-2.00000000001109e+001dB,1.79999713123360e+002°)
7.41310241300916e+000	(-2.00000000001161e+001dB,1.79999706441144e+002°)
7.58577575029182e+000	(-2.00000000001219e+001dB,1.79999699603280e+002°)
7.76247116628690e+000	(-2.00000000001277e+001dB,1.79999692606142e+002°)
7.94328234724279e+000	(-2.00000000001336e+001dB,1.79999685446019e+002°)
8.12830516164097e+000	(-2.00000000001398e+001dB,1.79999678119116e+002°)
8.31763771102669e+000	(-2.00000000001463e+001dB,1.79999670621547e+002°)
8.51138038202374e+000	(-2.00000000001534e+001dB,1.79999662949337e+002°)
8.70963589956078e+000	(-2.00000000001605e+001dB,1.79999655098418e+002°)
8.91250938133743e+000	(-2.00000000001683e+001dB,1.79999647064629e+002°)
9.12010839355907e+000	(-2.00000000001759e+001dB,1.79999638843708e+002°)
9.33254300796988e+000	(-2.00000000001844e+001dB,1.79999630431297e+002°)
9.54992586021433e+000	(-2.00000000001929e+001dB,1.79999621822936e+002°)
9.77237220955808e+000	(-2.00000000002022e+001dB,1.79999613014061e+002°)
9.99999999999997e+000	(-2.00000000002116e+001dB,1.79999604000000e+002°)
1.02329299228075e+001	(-2.00000000002217e+001dB,1.79999594775975e+002°)
1.04712854805090e+001	(-2.00000000002321e+001dB,1.79999585337095e+002°)
1.07151930523760e+001	(-2.00000000002429e+001dB,1.79999575678355e+002°)
1.09647819614318e+001	(-2.00000000002545e+001dB,1.79999565794634e+002°)
1.12201845430196e+001	(-2.00000000002665e+001dB,1.79999555680692e+002°)
1.14815362149688e+001	(-2.00000000002787e+001dB,1.79999545331166e+002°)
1.17489755493953e+001	(-2.00000000002920e+001dB,1.79999534740568e+002°)
1.20226443461741e+001	(-2.00000000003058e+001dB,1.79999523903284e+002°)
1.23026877081238e+001	(-2.00000000003202e+001dB,1.79999512813567e+002°)
1.25892541179416e+001	(-2.00000000003352e+001dB,1.79999501465537e+002°)
1.28824955169313e+001	(-2.00000000003513e+001dB,1.79999489853178e+002°)
1.31825673855640e+001	(-2.00000000003677e+001dB,1.79999477970332e+002°)
1.34896288259165e+001	(-2.00000000003850e+001dB,1.79999465810699e+002°)
1.38038426460288e+001	(-2.00000000004033e+001dB,1.79999453367831e+002°)
1.41253754462275e+001	(-2.00000000004222e+001dB,1.79999440635132e+002°)
1.44543977074592e+001	(-2.00000000004421e+001dB,1.79999427605851e+002°)
1.47910838816820e+001	(-2.00000000004629e+001dB,1.79999414273078e+002°)
1.51356124843620e+001	(-2.00000000004848e+001dB,1.79999400629746e+002°)
1.54881661891248e+001	(-2.00000000005075e+001dB,1.79999386668619e+002°)
1.58489319246111e+001	(-2.00000000005316e+001dB,1.79999372382296e+002°)
1.62181009735892e+001	(-2.00000000005566e+001dB,1.79999357763201e+002°)
1.65958690743755e+001	(-2.00000000005826e+001dB,1.79999342803585e+002°)
1.69824365246174e+001	(-2.00000000006103e+001dB,1.79999327495514e+002°)
1.73780082874937e+001	(-2.00000000006390e+001dB,1.79999311830872e+002°)
1.77827941003892e+001	(-2.00000000006690e+001dB,1.79999295801354e+002°)
1.81970085860998e+001	(-2.00000000007005e+001dB,1.79999279398460e+002°)
1.86208713666286e+001	(-2.00000000007337e+001dB,1.79999262613494e+002°)
1.90546071796324e+001	(-2.00000000007681e+001dB,1.79999245437556e+002°)
1.94984459975804e+001	(-2.00000000008045e+001dB,1.79999227861539e+002°)
1.99526231496887e+001	(-2.00000000008424e+001dB,1.79999209876123e+002°)
2.04173794466952e+001	(-2.00000000008820e+001dB,1.79999191471774e+002°)
2.08929613085403e+001	(-2.00000000009237e+001dB,1.79999172638732e+002°)
2.13796208950222e+001	(-2.00000000009673e+001dB,1.79999153367013e+002°)
2.18776162394954e+001	(-2.00000000010126e+001dB,1.79999133646397e+002°)
2.23872113856833e+001	(-2.00000000010605e+001dB,1.79999113466429e+002°)
2.29086765276776e+001	(-2.00000000011107e+001dB,1.79999092816410e+002°)
2.34422881531991e+001	(-2.00000000011627e+001dB,1.79999071685389e+002°)
2.39883291901948e+001	(-2.00000000012178e+001dB,1.79999050062164e+002°)
2.45470891568502e+001	(-2.00000000012749e+001dB,1.79999027935269e+002°)
2.51188643150957e+001	(-2.00000000013350e+001dB,1.79999005292973e+002°)
2.57039578276885e+001	(-2.00000000013981e+001dB,1.79998982123270e+002°)
2.63026799189537e+001	(-2.00000000014639e+001dB,1.79998958413875e+002°)
2.69153480392690e+001	(-2.00000000015329e+001dB,1.79998934152218e+002°)
2.75422870333815e+001	(-2.00000000016051e+001dB,1.79998909325434e+002°)
2.81838293126444e+001	(-2.00000000016808e+001dB,1.79998883920359e+002°)
2.88403150312659e+001	(-2.00000000017600e+001dB,1.79998857923525e+002°)
2.95120922666637e+001	(-2.00000000018430e+001dB,1.79998831321146e+002°)
3.01995172040200e+001	(-2.00000000019299e+001dB,1.79998804099119e+002°)
3.09029543251358e+001	(-2.00000000020208e+001dB,1.79998776243009e+002°)
3.16227766016837e+001	(-2.00000000021161e+001dB,1.79998747738047e+002°)
3.23593656929627e+001	(-2.00000000022157e+001dB,1.79998718569119e+002°)
3.31131121482590e+001	(-2.00000000023202e+001dB,1.79998688720759e+002°)
3.38844156139201e+001	(-2.00000000024294e+001dB,1.79998658177142e+002°)
3.46736850452530e+001	(-2.00000000025439e+001dB,1.79998626922072e+002°)
3.54813389233574e+001	(-2.00000000026641e+001dB,1.79998594938979e+002°)
3.63078054770100e+001	(-2.00000000027893e+001dB,1.79998562210903e+002°)
3.71535229097171e+001	(-2.00000000029210e+001dB,1.79998528720493e+002°)
3.80189396320559e+001	(-2.00000000030586e+001dB,1.79998494449991e+002°)
3.89045144994279e+001	(-2.00000000032028e+001dB,1.79998459381226e+002°)
3.98107170553495e+001	(-2.00000000033537e+001dB,1.79998423495605e+002°)
4.07380277804111e+001	(-2.00000000035120e+001dB,1.79998386774100e+002°)
4.16869383470333e+001	(-2.00000000036772e+001dB,1.79998349197242e+002°)
4.26579518801591e+001	(-2.00000000038508e+001dB,1.79998310745106e+002°)
4.36515832240164e+001	(-2.00000000040321e+001dB,1.79998271397305e+002°)
4.46683592150961e+001	(-2.00000000042222e+001dB,1.79998231132976e+002°)
4.57088189614873e+001	(-2.00000000044212e+001dB,1.79998189930770e+002°)
4.67735141287196e+001	(-2.00000000046295e+001dB,1.79998147768841e+002°)
4.78630092322636e+001	(-2.00000000048478e+001dB,1.79998104624835e+002°)
4.89778819368444e+001	(-2.00000000050761e+001dB,1.79998060475876e+002°)
5.01187233627270e+001	(-2.00000000053153e+001dB,1.79998015298556e+002°)
5.12861383991362e+001	(-2.00000000055658e+001dB,1.79997969068920e+002°)
5.24807460249770e+001	(-2.00000000058282e+001dB,1.79997921762458e+002°)
5.37031796370250e+001	(-2.00000000061028e+001dB,1.79997873354087e+002°)
5.49540873857622e+001	(-2.00000000063902e+001dB,1.79997823818140e+002°)
5.62341325190346e+001	(-2.00000000066917e+001dB,1.79997773128353e+002°)
5.75439937337154e+001	(-2.00000000070069e+001dB,1.79997721257849e+002°)
5.88843655355586e+001	(-2.00000000073372e+001dB,1.79997668179126e+002°)
6.02559586074355e+001	(-2.00000000076828e+001dB,1.79997613864040e+002°)
6.16595001861479e+001	(-2.00000000080451e+001dB,1.79997558283794e+002°)
6.30957344480190e+001	(-2.00000000084241e+001dB,1.79997501408917e+002°)
6.45654229034652e+001	(-2.00000000088211e+001dB,1.79997443209255e+002°)
6.60693448007593e+001	(-2.00000000092371e+001dB,1.79997383653948e+002°)
6.76082975391978e+001	(-2.00000000096722e+001dB,1.79997322711419e+002°)
6.91830970918933e+001	(-2.00000000101282e+001dB,1.79997260349357e+002°)
7.07945784384134e+001	(-2.00000000106056e+001dB,1.79997196534696e+002°)
7.24435960074986e+001	(-2.00000000111053e+001dB,1.79997131233600e+002°)
7.41310241300914e+001	(-2.00000000116286e+001dB,1.79997064411447e+002°)
7.58577575029180e+001	(-2.00000000121767e+001dB,1.79996996032805e+002°)
7.76247116628688e+001	(-2.00000000127507e+001dB,1.79996926061421e+002°)
7.94328234724277e+001	(-2.00000000133516e+001dB,1.79996854460193e+002°)
8.12830516164095e+001	(-2.00000000139807e+001dB,1.79996781191159e+002°)
8.31763771102667e+001	(-2.00000000146396e+001dB,1.79996706215470e+002°)
