time	V(a)	I(I1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999960041972e-013	-9.994449e-005	1.000000e-003
1.400326166739145e-012	-1.399513e-004	1.400326e-003
2.200978508209039e-012	-2.199488e-004	2.200979e-003
3.802283191148829e-012	-3.798805e-004	3.802283e-003
7.004892557028407e-012	-6.994850e-004	7.004892e-003
1.341011128878757e-011	-1.337660e-003	1.341011e-002
2.622054875230588e-011	-2.610881e-003	2.622055e-002
4.019206806686546e-011	-3.995048e-003	4.019207e-002
5.463866806066099e-011	-5.420987e-003	5.463867e-002
6.834949280288887e-011	-6.768876e-003	6.834950e-002
8.576908289077682e-011	-8.473703e-003	8.576908e-002
1.067294828038676e-010	-1.051414e-002	1.067295e-001
1.338394142233710e-010	-1.313575e-002	1.338394e-001
1.669117114924253e-010	-1.630750e-002	1.669117e-001
2.090415259864301e-010	-2.030614e-002	2.090415e-001
2.609872456051993e-010	-2.517286e-002	2.609873e-001
3.267782246976671e-010	-3.123737e-002	3.267782e-001
4.085639171476413e-010	-3.862441e-002	4.085639e-001
5.119649913064797e-010	-4.772847e-002	5.119650e-001
6.414054493121166e-010	-5.876572e-002	6.414055e-001
8.053296464797152e-010	-7.220119e-002	8.053296e-001
1.000000000000000e-009	-8.763825e-002	1.000000e+000
1.058401106056086e-009	-8.050860e-002	9.415989e-001
1.136269247464200e-009	-7.120687e-002	8.637307e-001
1.292005530280427e-009	-5.331058e-002	7.079945e-001
1.603478095912883e-009	-1.898295e-002	3.965219e-001
1.677646515704756e-009	-1.118193e-002	3.223535e-001
1.825983355288501e-009	3.681788e-003	1.740166e-001
2.000000000000000e-009	2.065616e-002	0.000000e+000
2.156614980240349e-009	1.979285e-002	0.000000e+000
2.313229960480699e-009	1.896704e-002	0.000000e+000
2.469844940721048e-009	1.817872e-002	0.000000e+000
2.626459920961397e-009	1.742790e-002	0.000000e+000
2.783074901201746e-009	1.671458e-002	0.000000e+000
2.939689881442095e-009	1.603876e-002	0.000000e+000
3.096304861682444e-009	1.540043e-002	0.000000e+000
4.210011387836038e-009	1.142460e-002	0.000000e+000
5.612070256275005e-009	7.641742e-003	0.000000e+000
6.979214386966212e-009	5.022045e-003	0.000000e+000
8.303507433578938e-009	3.265515e-003	0.000000e+000
9.704045589601395e-009	1.973910e-003	0.000000e+000
1.101509047759715e-008	1.123404e-003	0.000000e+000
1.216017473128779e-008	5.925555e-004	0.000000e+000
1.315778765701115e-008	2.487537e-004	0.000000e+000
1.393768578732823e-008	4.107243e-005	0.000000e+000
1.471767371693668e-008	-1.237310e-004	0.000000e+000
1.549381908415275e-008	-2.526871e-004	0.000000e+000
1.675882777479186e-008	-4.112198e-004	0.000000e+000
1.813620946095184e-008	-5.328220e-004	0.000000e+000
1.997857981903892e-008	-6.359859e-004	0.000000e+000
2.192563184374785e-008	-6.979533e-004	0.000000e+000
2.444680788864387e-008	-7.347709e-004	0.000000e+000
2.723918871737844e-008	-7.458805e-004	0.000000e+000
3.093016314684150e-008	-7.378314e-004	0.000000e+000
3.534522288931780e-008	-7.157076e-004	0.000000e+000
5.028631587864977e-008	-6.271579e-004	0.000000e+000
6.524663220452230e-008	-5.489744e-004	0.000000e+000
9.516726485626738e-008	-4.212968e-004	0.000000e+000
1.350825860433568e-007	-2.922589e-004	0.000000e+000
1.757574560465123e-007	-1.997190e-004	0.000000e+000
2.193685970411031e-007	-1.323342e-004	0.000000e+000
2.594132730825699e-007	-9.047841e-005	0.000000e+000
3.012215031547444e-007	-6.101618e-005	0.000000e+000
3.413699158942848e-007	-4.175954e-005	0.000000e+000
3.831689328864019e-007	-2.816843e-005	0.000000e+000
4.236749541659445e-007	-1.921161e-005	0.000000e+000
4.652646040125726e-007	-1.298032e-005	0.000000e+000
5.058908382468831e-007	-8.844087e-006	0.000000e+000
5.473341497257845e-007	-5.983402e-006	0.000000e+000
5.880786210559514e-007	-4.072651e-006	0.000000e+000
6.294293729706933e-007	-2.757506e-006	0.000000e+000
6.702536603897473e-007	-1.875618e-006	0.000000e+000
7.115349710456838e-007	-1.270725e-006	0.000000e+000
