time	V(a)	I(I1)
0.000000000000000e+000	0.000000e+000	0.000000e+000
9.999999960041972e-013	-9.994442e-005	1.000000e-003
1.400326519387231e-012	-1.399512e-004	1.400326e-003
2.200979566153298e-012	-2.199487e-004	2.200980e-003
3.802285659685431e-012	-3.798804e-004	3.802286e-003
7.004897846749699e-012	-6.994844e-004	7.004898e-003
1.341012222087823e-011	-1.337657e-003	1.341012e-002
2.622057096913531e-011	-2.610872e-003	2.622057e-002
4.018457302892840e-011	-3.994282e-003	4.018457e-002
5.462833365075477e-011	-5.419923e-003	5.462833e-002
6.833215436515179e-011	-6.767105e-003	6.833216e-002
8.575068327132033e-011	-8.471796e-003	8.575068e-002
1.067039284062505e-010	-1.051149e-002	1.067039e-001
1.338105765489193e-010	-1.313271e-002	1.338106e-001
1.668732394573615e-010	-1.630342e-002	1.668732e-001
2.089964559798408e-010	-2.030126e-002	2.089965e-001
2.609289217099443e-010	-2.516646e-002	2.609289e-001
3.267085679218047e-010	-3.122950e-002	3.267086e-001
4.084756405725079e-010	-3.861421e-002	4.084756e-001
5.118586984673401e-010	-4.771567e-002	5.118587e-001
6.412730157712568e-010	-5.874917e-002	6.412730e-001
8.051704025435016e-010	-7.217993e-002	8.051704e-001
1.000000000000000e-009	-8.762607e-002	1.000000e+000
1.058448879236950e-009	-8.048946e-002	9.415511e-001
1.136380718219549e-009	-7.117905e-002	8.636193e-001
1.292244396184748e-009	-5.326737e-002	7.077556e-001
1.603971752115145e-009	-1.891175e-002	3.960283e-001
1.677689775388631e-009	-1.115803e-002	3.223102e-001
1.825125821935602e-009	3.615032e-003	1.748742e-001
2.000000000000000e-009	2.067270e-002	0.000000e+000
2.157386760257958e-009	1.980368e-002	0.000000e+000
2.314773520515917e-009	1.897261e-002	0.000000e+000
2.472160280773875e-009	1.817946e-002	0.000000e+000
2.629547041031833e-009	1.742426e-002	0.000000e+000
2.786933801289791e-009	1.670699e-002	0.000000e+000
2.944320561547748e-009	1.602766e-002	0.000000e+000
3.101707321805706e-009	1.538627e-002	0.000000e+000
4.220902061417852e-009	1.139241e-002	0.000000e+000
5.621602105681672e-009	7.617162e-003	0.000000e+000
6.985824718684449e-009	5.007184e-003	0.000000e+000
8.308655967216210e-009	3.255204e-003	0.000000e+000
9.707179576155384e-009	1.967175e-003	0.000000e+000
1.101677224387846e-008	1.118694e-003	0.000000e+000
1.215989552263825e-008	5.893499e-004	0.000000e+000
1.315499735153134e-008	2.467126e-004	0.000000e+000
1.393185046325361e-008	3.998778e-005	0.000000e+000
1.471343669058282e-008	-1.250245e-004	0.000000e+000
1.549180959016124e-008	-2.542027e-004	0.000000e+000
1.675856699323235e-008	-4.126495e-004	0.000000e+000
1.813681075216651e-008	-5.339911e-004	0.000000e+000
1.998011167496706e-008	-6.368188e-004	0.000000e+000
2.192812047298460e-008	-6.985036e-004	0.000000e+000
2.445102976696392e-008	-7.350658e-004	0.000000e+000
2.724566623878691e-008	-7.459901e-004	0.000000e+000
3.094093673745227e-008	-7.377926e-004	0.000000e+000
3.536311543631835e-008	-7.155603e-004	0.000000e+000
5.034595478088822e-008	-6.267597e-004	0.000000e+000
6.538048684557371e-008	-5.482820e-004	0.000000e+000
9.544955097494466e-008	-4.202116e-004	0.000000e+000
1.354203444666696e-007	-2.913193e-004	0.000000e+000
1.760842710759813e-007	-1.990851e-004	0.000000e+000
2.196743031316974e-007	-1.319441e-004	0.000000e+000
2.597198573498029e-007	-9.021473e-005	0.000000e+000
3.015317296665619e-007	-6.083742e-005	0.000000e+000
3.416848778729374e-007	-4.163585e-005	0.000000e+000
3.834841489039984e-007	-2.808527e-005	0.000000e+000
4.239919175641834e-007	-1.915488e-005	0.000000e+000
4.655824306334004e-007	-1.294209e-005	0.000000e+000
5.062106150953636e-007	-8.818017e-006	0.000000e+000
5.476553366005106e-007	-5.965775e-006	0.000000e+000
5.884013524797222e-007	-4.060657e-006	0.000000e+000
6.297537097571138e-007	-2.749385e-006	0.000000e+000
6.705792873867749e-007	-1.870100e-006	0.000000e+000
7.118624264483066e-007	-1.266985e-006	0.000000e+000
7.527656685433904e-007	-8.611928e-007	0.000000e+000
7.939897377467306e-007	-5.837464e-007	0.000000e+000
8.349399604220742e-007	-3.966227e-007	0.000000e+000
8.761215847008577e-007	-2.689442e-007	0.000000e+000
9.171070893813566e-007	-1.826768e-007	0.000000e+000
9.582593036806694e-007	-1.239020e-007	0.000000e+000
9.992697274293541e-007	-8.414064e-008	0.000000e+000
1.040400811305159e-006	-5.707949e-008	0.000000e+000
1.081428915183237e-006	-3.875622e-008	0.000000e+000
1.122545041011212e-006	-2.629491e-008	0.000000e+000
1.163585728576331e-006	-1.785196e-008	0.000000e+000
1.204691239346049e-006	-1.211312e-008	0.000000e+000
1.245740848982489e-006	-8.223120e-009	0.000000e+000
1.286838835534638e-006	-5.594337e-009	0.000000e+000
1.331367971686413e-006	-3.708179e-009	0.000000e+000
1.383316574943861e-006	-2.302391e-009	0.000000e+000
1.442884824074248e-006	-1.333045e-009	0.000000e+000
1.513296596214601e-006	-7.002011e-010	0.000000e+000
1.596789712369571e-006	-3.257628e-010	0.000000e+000
1.896789712369570e-006	-1.673158e-011	0.000000e+000
9.999999999999999e-006	0.000000e+000	0.000000e+000
1.000000220000000e-005	-2.197664e-004	2.200000e-003
1.000000660000000e-005	-6.590525e-004	6.600000e-003
1.000001051085931e-005	-1.049130e-003	1.051086e-002
1.000001491657398e-005	-1.487927e-003	1.491657e-002
1.000002372800330e-005	-2.363774e-003	2.372800e-002
1.000003613839249e-005	-3.593989e-003	3.613839e-002
1.000005095738575e-005	-5.058051e-003	5.095739e-002
1.000006454184215e-005	-6.394976e-003	6.454184e-002
1.000008088353264e-005	-7.996254e-003	8.088353e-002
1.000010076531298e-005	-9.934549e-003	1.007653e-001
1.000012620105276e-005	-1.239880e-002	1.262010e-001
1.000015753239841e-005	-1.541052e-002	1.575324e-001
1.000019715676142e-005	-1.918222e-002	1.971568e-001
1.000024627034585e-005	-2.380021e-002	2.462703e-001
1.000030819293509e-005	-2.953395e-002	3.081929e-001
1.000038539519641e-005	-3.654654e-002	3.853952e-001
1.000048271346204e-005	-4.517601e-002	4.827135e-001
1.000060471045176e-005	-5.567169e-002	6.047105e-001
1.000075887113225e-005	-6.856331e-002	7.588711e-001
1.000080547971732e-005	-7.235304e-002	8.054797e-001
1.000089869688746e-005	-7.973251e-002	8.986969e-001
1.000100000000000e-005	-8.762278e-002	1.000000e+000
1.000107091217878e-005	-7.896983e-002	9.290878e-001
1.000115195466881e-005	-6.932752e-002	8.480453e-001
1.000131403964887e-005	-5.080544e-002	6.859604e-001
