Freq.	V(line_2)
1.00000000000000e+000	(-8.40364047074135e+001dB,8.99604000063055e+001°)
1.02329299228075e+000	(-8.38364048051853e+001dB,8.99594776042621e+001°)
1.04712854805090e+000	(-8.36364049075648e+001dB,8.99585337167369e+001°)
1.07151930523761e+000	(-8.34364050147694e+001dB,8.99575678432700e+001°)
1.09647819614318e+000	(-8.32364051270263e+001dB,8.99565794717450e+001°)
1.12201845430196e+000	(-8.30364052445738e+001dB,8.99555680781164e+001°)
1.14815362149688e+000	(-8.28364053676611e+001dB,8.99545331261325e+001°)
1.17489755493953e+000	(-8.26364054965493e+001dB,8.99534740670507e+001°)
1.20226443461741e+000	(-8.24364056315118e+001dB,8.99523903393468e+001°)
1.23026877081238e+000	(-8.22364057728349e+001dB,8.99512813684172e+001°)
1.25892541179417e+000	(-8.20364059208184e+001dB,8.99501465662741e+001°)
1.28824955169313e+000	(-8.18364060757760e+001dB,8.99489853312339e+001°)
1.31825673855641e+000	(-8.16364062380367e+001dB,8.99477970475982e+001°)
1.34896288259165e+000	(-8.14364064079444e+001dB,8.99465810853275e+001°)
1.38038426460288e+000	(-8.12364065858596e+001dB,8.99453367997069e+001°)
1.41253754462275e+000	(-8.10364067721597e+001dB,8.99440635310042e+001°)
1.44543977074593e+000	(-8.08364069672398e+001dB,8.99427606041207e+001°)
1.47910838816821e+000	(-8.06364071715138e+001dB,8.99414273282327e+001°)
1.51356124843621e+000	(-8.04364073854149e+001dB,8.99400629964254e+001°)
1.54881661891248e+000	(-8.02364076093968e+001dB,8.99386668853182e+001°)
1.58489319246111e+000	(-8.00364078439347e+001dB,8.99372382546811e+001°)
1.62181009735893e+000	(-7.98364080895260e+001dB,8.99357763470425e+001°)
1.65958690743756e+000	(-7.96364083466916e+001dB,8.99342803872871e+001°)
1.69824365246174e+000	(-7.94364086159771e+001dB,8.99327495822455e+001°)
1.73780082874937e+000	(-7.92364088979535e+001dB,8.99311831202732e+001°)
1.77827941003892e+000	(-7.90364091932191e+001dB,8.99295801708208e+001°)
1.81970085860998e+000	(-7.88364095024001e+001dB,8.99279398839934e+001°)
1.86208713666287e+000	(-7.86364098261524e+001dB,8.99262613900998e+001°)
1.90546071796325e+000	(-7.84364101651626e+001dB,8.99245437991920e+001°)
1.94984459975804e+000	(-7.82364105201498e+001dB,8.99227862005928e+001°)
1.99526231496888e+000	(-7.80364108918670e+001dB,8.99209876624135e+001°)
2.04173794466953e+000	(-7.78364112811026e+001dB,8.99191472310595e+001°)
2.08929613085404e+000	(-7.76364116886824e+001dB,8.99172639307249e+001°)
2.13796208950223e+000	(-7.74364121154707e+001dB,8.99153367628753e+001°)
2.18776162394955e+000	(-7.72364125623730e+001dB,8.99133647057181e+001°)
2.23872113856834e+000	(-7.70364130303370e+001dB,8.99113467136614e+001°)
2.29086765276777e+000	(-7.68364135203554e+001dB,8.99092817167590e+001°)
2.34422881531992e+000	(-7.66364140334676e+001dB,8.99071686201437e+001°)
2.39883291901949e+000	(-7.64364145707620e+001dB,8.99050063034467e+001°)
2.45470891568503e+000	(-7.62364151333783e+001dB,8.99027936202038e+001°)
2.51188643150958e+000	(-7.60364157225097e+001dB,8.99005293972474e+001°)
2.57039578276886e+000	(-7.58364163394060e+001dB,8.98982124340848e+001°)
2.63026799189538e+000	(-7.56364169853755e+001dB,8.98958415022618e+001°)
2.69153480392691e+000	(-7.54364176617887e+001dB,8.98934153447116e+001°)
2.75422870333816e+000	(-7.52364183700800e+001dB,8.98909326750879e+001°)
2.81838293126445e+000	(-7.50364191117520e+001dB,8.98883921770840e+001°)
2.88403150312660e+000	(-7.48364198883777e+001dB,8.98857925037341e+001°)
2.95120922666638e+000	(-7.46364207016046e+001dB,8.98831322766997e+001°)
3.01995172040201e+000	(-7.44364215531575e+001dB,8.98804100855393e+001°)
3.09029543251359e+000	(-7.42364224448427e+001dB,8.98776244869602e+001°)
3.16227766016837e+000	(-7.40364233785514e+001dB,8.98747740040540e+001°)
3.23593656929628e+000	(-7.38364243562644e+001dB,8.98718571255132e+001°)
3.31131121482591e+000	(-7.36364253800552e+001dB,8.98688723048308e+001°)
3.38844156139202e+000	(-7.34364264520956e+001dB,8.98658179594802e+001°)
3.46736850452531e+000	(-7.32364275746595e+001dB,8.98626924700766e+001°)
3.54813389233575e+000	(-7.30364287501278e+001dB,8.98594941795185e+001°)
3.63078054770101e+000	(-7.28364299809939e+001dB,8.98562213921098e+001°)
3.71535229097172e+000	(-7.26364312698685e+001dB,8.98528723726606e+001°)
3.80189396320560e+000	(-7.24364326194855e+001dB,8.98494453455682e+001°)
3.89045144994280e+000	(-7.22364340327076e+001dB,8.98459384938756e+001°)
3.98107170553496e+000	(-7.20364355125323e+001dB,8.98423499583087e+001°)
4.07380277804112e+000	(-7.18364370620984e+001dB,8.98386778362912e+001°)
4.16869383470335e+000	(-7.16364386846927e+001dB,8.98349201809361e+001°)
4.26579518801592e+000	(-7.14364403837569e+001dB,8.98310750000141e+001°)
4.36515832240165e+000	(-7.12364421628948e+001dB,8.98271402548981e+001°)
4.46683592150962e+000	(-7.10364440258802e+001dB,8.98231138594826e+001°)
4.57088189614874e+000	(-7.08364459766644e+001dB,8.98189936790788e+001°)
4.67735141287197e+000	(-7.06364480193854e+001dB,8.98147775292829e+001°)
4.78630092322637e+000	(-7.04364501583757e+001dB,8.98104631748192e+001°)
4.89778819368445e+000	(-7.02364523981725e+001dB,8.98060483283558e+001°)
5.01187233627271e+000	(-7.00364547435264e+001dB,8.98015306492924e+001°)
5.12861383991364e+000	(-6.98364571994121e+001dB,8.97969077425206e+001°)
5.24807460249771e+000	(-6.96364597710386e+001dB,8.97921771571549e+001°)
5.37031796370252e+000	(-6.94364624638605e+001dB,8.97873363852345e+001°)
5.49540873857623e+000	(-6.92364652835894e+001dB,8.97823828603947e+001°)
5.62341325190348e+000	(-6.90364682362060e+001dB,8.97773139565073e+001°)
5.75439937337156e+000	(-6.88364713279731e+001dB,8.97721269862900e+001°)
5.88843655355588e+000	(-6.86364745654482e+001dB,8.97668191998828e+001°)
6.02559586074356e+000	(-6.84364779554983e+001dB,8.97613877833917e+001°)
6.16595001861481e+000	(-6.82364815053137e+001dB,8.97558298573986e+001°)
6.30957344480192e+000	(-6.80364852224237e+001dB,8.97501424754360e+001°)
6.45654229034654e+000	(-6.78364891147122e+001dB,8.97443226224273e+001°)
