Freq.	V(line_2)
1.00000000000000e+000	(-1.04036408887595e+002dB,8.99312400330096e+001°)
1.02329299228075e+000	(-1.03836409182373e+002dB,8.99296384092212e+001°)
1.04712854805090e+000	(-1.03636409491042e+002dB,8.99279994789361e+001°)
1.07151930523761e+000	(-1.03436409814259e+002dB,8.99263223731826e+001°)
1.09647819614318e+000	(-1.03236410152709e+002dB,8.99246062027484e+001°)
1.12201845430196e+000	(-1.03036410507109e+002dB,8.99228500577095e+001°)
1.14815362149688e+000	(-1.02836410878212e+002dB,8.99210530069480e+001°)
1.17489755493953e+000	(-1.02636411266804e+002dB,8.99192140976577e+001°)
1.20226443461741e+000	(-1.02436411673710e+002dB,8.99173323548399e+001°)
1.23026877081238e+000	(-1.02236412099793e+002dB,8.99154067807857e+001°)
1.25892541179417e+000	(-1.02036412545956e+002dB,8.99134363545479e+001°)
1.28824955169313e+000	(-1.01836413013146e+002dB,8.99114200313989e+001°)
1.31825673855641e+000	(-1.01636413502355e+002dB,8.99093567422775e+001°)
1.34896288259165e+000	(-1.01436414014618e+002dB,8.99072453932220e+001°)
1.38038426460288e+000	(-1.01236414551024e+002dB,8.99050848647900e+001°)
1.41253754462275e+000	(-1.01036415112710e+002dB,8.99028740114655e+001°)
1.44543977074593e+000	(-1.00836415700868e+002dB,8.99006116610509e+001°)
1.47910838816821e+000	(-1.00636416316744e+002dB,8.98982966140465e+001°)
1.51356124843621e+000	(-1.00436416961646e+002dB,8.98959276430140e+001°)
1.54881661891248e+000	(-1.00236417636941e+002dB,8.98935034919259e+001°)
1.58489319246111e+000	(-1.00036418344061e+002dB,8.98910228754999e+001°)
1.62181009735893e+000	(-9.98364190845066e+001dB,8.98884844785177e+001°)
1.65958690743756e+000	(-9.96364198598483e+001dB,8.98858869551275e+001°)
1.69824365246174e+000	(-9.94364206717306e+001dB,8.98832289281307e+001°)
1.73780082874937e+000	(-9.92364215218756e+001dB,8.98805089882519e+001°)
1.77827941003892e+000	(-9.90364224120865e+001dB,8.98777256933922e+001°)
1.81970085860998e+000	(-9.88364233442516e+001dB,8.98748775678643e+001°)
1.86208713666287e+000	(-9.86364243203480e+001dB,8.98719631016107e+001°)
1.90546071796325e+000	(-9.84364253424462e+001dB,8.98689807494032e+001°)
1.94984459975804e+000	(-9.82364264127141e+001dB,8.98659289300238e+001°)
1.99526231496888e+000	(-9.80364275334220e+001dB,8.98628060254269e+001°)
2.04173794466953e+000	(-9.78364287069468e+001dB,8.98596103798813e+001°)
2.08929613085404e+000	(-9.76364299357779e+001dB,8.98563402990930e+001°)
2.13796208950223e+000	(-9.74364312225216e+001dB,8.98529940493073e+001°)
2.18776162394955e+000	(-9.72364325699072e+001dB,8.98495698563894e+001°)
2.23872113856834e+000	(-9.70364339807927e+001dB,8.98460659048850e+001°)
2.29086765276777e+000	(-9.68364354581708e+001dB,8.98424803370573e+001°)
2.34422881531992e+000	(-9.66364370051749e+001dB,8.98388112519034e+001°)
2.39883291901949e+000	(-9.64364386250866e+001dB,8.98350567041461e+001°)
