time	V(wh_1)	V(wh_1)-V(wh_2)	V(wh_2)
0.000000000000000e+000	0.000000e+000	1.881874e-001	-1.881874e-001
9.362285449502195e-006	-6.669496e-005	1.880493e-001	-1.881160e-001
1.872457089900439e-005	-2.460312e-004	1.876779e-001	-1.879239e-001
2.808685634850659e-005	-5.380088e-004	1.870733e-001	-1.876113e-001
3.744914179800878e-005	-9.426277e-004	1.862353e-001	-1.871780e-001
4.681142724751097e-005	-1.459888e-003	1.851642e-001	-1.866241e-001
5.617371269701317e-005	-2.089790e-003	1.838597e-001	-1.859495e-001
6.553599814651534e-005	-2.832332e-003	1.823220e-001	-1.851543e-001
1.310719962930307e-004	-1.053478e-002	1.663712e-001	-1.769060e-001
2.621439925860614e-004	-3.578271e-002	1.140860e-001	-1.498687e-001
5.242879851721227e-004	-9.227876e-002	-2.835929e-003	-8.944283e-002
1.048575970344245e-003	-1.245525e-001	-5.871912e-002	-6.583340e-002
2.048575970344246e-003	-1.068018e-001	-6.326378e-002	-4.353805e-002
3.048575970344246e-003	-4.353805e-002	-6.290912e-002	1.937108e-002
4.048575970344246e-003	1.937108e-002	1.264131e-001	-1.070420e-001
5.048575970344246e-003	-1.070420e-001	1.314038e-001	-2.384458e-001
6.048575970344246e-003	-2.384458e-001	8.681385e-002	-3.252597e-001
7.048575970344246e-003	-3.252597e-001	-8.967218e-002	-2.355875e-001
8.048575970344245e-003	-2.355875e-001	-1.761370e-001	-5.945052e-002
9.048575970344246e-003	-5.945052e-002	-6.686581e-002	7.415287e-003
1.004857597034425e-002	7.415287e-003	-6.134117e-002	6.875645e-002
1.104857597034425e-002	6.875645e-002	2.388949e-002	4.486696e-002
1.204857597034425e-002	4.486696e-002	8.000302e-002	-3.513606e-002
1.304857597034425e-002	-3.513606e-002	1.790926e-001	-2.142287e-001
1.404857597034425e-002	-2.142287e-001	1.246209e-001	-3.388495e-001
1.504857597034425e-002	-3.388495e-001	-1.826729e-001	-1.561767e-001
1.604857597034425e-002	-1.561767e-001	-2.453095e-001	8.913279e-002
1.704857597034425e-002	8.913279e-002	-8.359756e-002	1.727303e-001
1.804857597034425e-002	1.727303e-001	-1.535872e-002	1.880891e-001
1.904857597034425e-002	1.880891e-001	1.505140e-001	3.757501e-002
2.004857597034426e-002	3.757501e-002	1.038744e-001	-6.629939e-002
2.104857597034426e-002	-6.629939e-002	-2.733253e-001	2.070259e-001
2.204857597034426e-002	2.070259e-001	-2.187622e-001	4.257882e-001
2.304857597034426e-002	4.257882e-001	5.330271e-002	3.724855e-001
2.404857597034426e-002	3.724855e-001	2.001150e-001	1.723704e-001
2.504857597034426e-002	1.723704e-001	1.176443e-001	5.472618e-002
2.604857597034426e-002	5.472618e-002	-1.196894e-001	1.744156e-001
2.704857597034426e-002	1.744156e-001	2.176006e-002	1.526555e-001
2.804857597034426e-002	1.526555e-001	2.182473e-001	-6.559185e-002
2.904857597034426e-002	-6.559185e-002	2.299585e-002	-8.858770e-002
3.004857597034426e-002	-8.858770e-002	-1.710877e-001	8.250003e-002
3.104857597034427e-002	8.250003e-002	2.056085e-002	6.193918e-002
3.204857597034427e-002	6.193918e-002	2.825531e-002	3.368387e-002
3.304857597034427e-002	3.368387e-002	-1.324166e-001	1.661005e-001
3.404857597034427e-002	1.661005e-001	1.796969e-001	-1.359646e-002
3.504857597034427e-002	-1.359646e-002	2.710063e-001	-2.846028e-001
3.604857597034427e-002	-2.846028e-001	-1.791146e-001	-1.054882e-001
3.704857597034427e-002	-1.054882e-001	-3.767936e-001	2.713054e-001
3.804857597034427e-002	2.713054e-001	-9.963354e-002	3.709389e-001
3.904857597034427e-002	3.709389e-001	4.636499e-002	3.245739e-001
4.004857597034427e-002	3.245739e-001	-7.362556e-002	3.981995e-001
4.104857597034427e-002	3.981995e-001	5.534875e-002	3.428507e-001
4.204857597034428e-002	3.428507e-001	2.867840e-001	5.606676e-002
