Freq.	V(6)
Step Information: Cload=10p  (Run: 1/5)
1.00000000000000e+000	(2.08277639827886e+001dB,-9.43592639914479e-004°)
1.02329299228075e+000	(2.08277639827348e+001dB,-9.65571735988264e-004°)
1.04712854805090e+000	(2.08277639826785e+001dB,-9.88062790976950e-004°)
1.07151930523761e+000	(2.08277639826195e+001dB,-1.01107772993557e-003°)
1.09647819614318e+000	(2.08277639825577e+001dB,-1.03462875568937e-003°)
1.12201845430196e+000	(2.08277639824930e+001dB,-1.05872835530392e-003°)
1.14815362149688e+000	(2.08277639824253e+001dB,-1.08338930670588e-003°)
1.17489755493953e+000	(2.08277639823544e+001dB,-1.10862468545810e-003°)
1.20226443461741e+000	(2.08277639822802e+001dB,-1.13444787169236e-003°)
1.23026877081238e+000	(2.08277639822024e+001dB,-1.16087255720380e-003°)
1.25892541179417e+000	(2.08277639821210e+001dB,-1.18791275271038e-003°)
1.28824955169313e+000	(2.08277639820357e+001dB,-1.21558279528165e-003°)
1.31825673855641e+000	(2.08277639819464e+001dB,-1.24389735594037e-003°)
1.34896288259165e+000	(2.08277639818530e+001dB,-1.27287144744135e-003°)
1.38038426460288e+000	(2.08277639817551e+001dB,-1.30252043223137e-003°)
1.41253754462275e+000	(2.08277639816526e+001dB,-1.33286003059454e-003°)
1.44543977074593e+000	(2.08277639815452e+001dB,-1.36390632898744e-003°)
1.47910838816821e+000	(2.08277639814328e+001dB,-1.39567578856837e-003°)
1.51356124843621e+000	(2.08277639813152e+001dB,-1.42818525392524e-003°)
1.54881661891248e+000	(2.08277639811919e+001dB,-1.46145196200680e-003°)
1.58489319246111e+000	(2.08277639810629e+001dB,-1.49549355126194e-003°)
1.62181009735893e+000	(2.08277639809278e+001dB,-1.53032807099178e-003°)
1.65958690743756e+000	(2.08277639807863e+001dB,-1.56597399091969e-003°)
1.69824365246174e+000	(2.08277639806381e+001dB,-1.60245021098411e-003°)
1.73780082874937e+000	(2.08277639804830e+001dB,-1.63977607135964e-003°)
1.77827941003892e+000	(2.08277639803205e+001dB,-1.67797136271139e-003°)
1.81970085860998e+000	(2.08277639801504e+001dB,-1.71705633668830e-003°)
1.86208713666287e+000	(2.08277639799723e+001dB,-1.75705171666076e-003°)
1.90546071796325e+000	(2.08277639797858e+001dB,-1.79797870870849e-003°)
1.94984459975804e+000	(2.08277639795904e+001dB,-1.83985901286426e-003°)
1.99526231496888e+000	(2.08277639793859e+001dB,-1.88271483461950e-003°)
2.04173794466953e+000	(2.08277639791718e+001dB,-1.92656889669798e-003°)
2.08929613085404e+000	(2.08277639789475e+001dB,-1.97144445110372e-003°)
